Time , el8_pstrn
 0.00000e+00 ,  1.00000e+00
 9.98567e-05 ,  1.00000e+00
 1.99947e-04 ,  1.00000e+00
 2.99803e-04 ,  1.00000e+00
 3.99893e-04 ,  1.00000e+00
 4.99983e-04 ,  1.00000e+00
 5.99840e-04 ,  1.00000e+00
 6.99930e-04 ,  9.99985e-01
 7.99787e-04 ,  9.99863e-01
 8.99877e-04 ,  1.00073e+00
 9.99967e-04 ,  1.00520e+00
 1.09982e-03 ,  9.51897e-01
 1.19991e-03 ,  7.85776e-01
 1.29977e-03 ,  6.88881e-01
 1.39986e-03 ,  6.99054e-01
 1.49995e-03 ,  7.18649e-01
 1.59981e-03 ,  7.25400e-01
 1.69990e-03 ,  7.28801e-01
 1.79999e-03 ,  7.30890e-01
 1.89984e-03 ,  7.32021e-01
 1.99993e-03 ,  7.32749e-01
 2.09979e-03 ,  7.30190e-01
 2.19988e-03 ,  7.23480e-01
 2.29997e-03 ,  7.16295e-01
 2.39983e-03 ,  7.11965e-01
 2.49992e-03 ,  7.09804e-01
 2.59977e-03 ,  7.08014e-01
 2.69986e-03 ,  7.05058e-01
 2.79995e-03 ,  7.00799e-01
 2.89981e-03 ,  6.94116e-01
 2.99990e-03 ,  6.85124e-01
 3.09999e-03 ,  6.73877e-01
 3.19985e-03 ,  6.60934e-01
 3.29994e-03 ,  6.47347e-01
 3.39979e-03 ,  6.33914e-01
 3.49988e-03 ,  6.22626e-01
 3.59997e-03 ,  6.15821e-01
 3.69983e-03 ,  6.14689e-01
 3.79992e-03 ,  6.18816e-01
 3.89978e-03 ,  6.26237e-01
 3.99987e-03 ,  6.32876e-01
 4.09996e-03 ,  6.38536e-01
 4.19981e-03 ,  6.44598e-01
 4.29990e-03 ,  6.50609e-01
 4.39999e-03 ,  6.56550e-01
 4.49985e-03 ,  6.64466e-01
 4.59994e-03 ,  6.74337e-01
 4.69980e-03 ,  6.85528e-01
 4.79989e-03 ,  6.97352e-01
 4.89998e-03 ,  7.09965e-01
 4.99983e-03 ,  7.23152e-01
 5.09992e-03 ,  7.36711e-01
 5.19978e-03 ,  7.50227e-01
 5.29987e-03 ,  7.63366e-01
 5.39996e-03 ,  7.76020e-01
 5.49982e-03 ,  7.87562e-01
 5.59991e-03 ,  7.97408e-01
 5.70000e-03 ,  8.05149e-01
 5.79985e-03 ,  8.10622e-01
 5.89994e-03 ,  8.13846e-01
 5.99980e-03 ,  8.15091e-01
 6.09989e-03 ,  8.15237e-01
 6.19998e-03 ,  8.14546e-01
 6.29984e-03 ,  8.12872e-01
 6.39993e-03 ,  8.10292e-01
 6.49978e-03 ,  8.07130e-01
 6.59987e-03 ,  8.03626e-01
 6.69996e-03 ,  7.99404e-01
 6.79982e-03 ,  7.94408e-01
 6.89991e-03 ,  7.88794e-01
 7.00000e-03 ,  7.83213e-01
 7.09986e-03 ,  7.77544e-01
 7.19995e-03 ,  7.71675e-01
 7.29980e-03 ,  7.65881e-01
 7.39989e-03 ,  7.60373e-01
 7.49998e-03 ,  7.55164e-01
