el8_pstrn , el8_pstrn
0.0,0.0
3.93445e-9,3.93445e-9
1.56546e-9,1.56546e-9
-5.33204e-8,-5.33204e-8
-2.89983e-8,-2.89983e-8
4.68879e-7,4.68879e-7
1.36094e-6,1.36094e-6
1.01601e-5,1.01601e-5
0.000100261,0.000100261
-0.000330514,-0.000330514
-0.00313949,-0.00313949
0.0296534,0.0296534
0.128481,0.128481
0.193291,0.193291
0.193994,0.193994
0.193946,0.193946
0.20747,0.20747
0.22008,0.22008
0.227478,0.227478
0.233042,0.233042
0.241252,0.241252
0.255079,0.255079
0.273912,0.273912
0.294797,0.294797
0.314603,0.314603
0.331681,0.331681
0.346161,0.346161
0.358413,0.358413
0.367549,0.367549
0.372537,0.372537
0.3721,0.3721
0.366563,0.366563
0.35799,0.35799
0.348974,0.348974
0.34155,0.34155
0.336755,0.336755
0.334556,0.334556
0.334455,0.334455
0.33548,0.33548
0.334635,0.334635
0.330443,0.330443
0.322408,0.322408
0.311041,0.311041
0.29723,0.29723
0.281772,0.281772
0.266362,0.266362
0.251311,0.251311
0.236025,0.236025
0.221107,0.221107
0.206766,0.206766
0.192835,0.192835
0.179535,0.179535
0.167488,0.167488
0.155952,0.155952
0.14467,0.14467
0.133712,0.133712
0.123141,0.123141
0.112727,0.112727
0.102731,0.102731
0.093748,0.093748
0.0861128,0.0861128
0.0798278,0.0798278
0.0749417,0.0749417
0.0712997,0.0712997
0.068748,0.068748
0.0670396,0.0670396
0.065905,0.065905
0.0651613,0.0651613
0.064714,0.064714
0.0642517,0.0642517
0.0633467,0.0633467
0.0619388,0.0619388
0.0600718,0.0600718
0.0578895,0.0578895
0.0555773,0.0555773
0.0531917,0.0531917
0.0506258,0.0506258
0.0478142,0.0478142
0.0448382,0.0448382
0.0417655,0.0417655
0.0386131,0.0386131
0.0352932,0.0352932
0.0316541,0.0316541
0.0275868,0.0275868
0.0230087,0.0230087
0.0179373,0.0179373
0.0124504,0.0124504
0.00666683,0.00666683
0.000678062,0.000678062
-0.00543724,-0.00543724
-0.0115621,-0.0115621
-0.0176702,-0.0176702
-0.0239401,-0.0239401
-0.0305084,-0.0305084
-0.0374505,-0.0374505
-0.0448292,-0.0448292
-0.0525176,-0.0525176
-0.0605381,-0.0605381
-0.0690034,-0.0690034
-0.0778826,-0.0778826
-0.087175,-0.087175
-0.0965411,-0.0965411
-0.105987,-0.105987
-0.115514,-0.115514
-0.12503,-0.12503
-0.134441,-0.134441
-0.143542,-0.143542
-0.152212,-0.152212
-0.160567,-0.160567
-0.168482,-0.168482
-0.175886,-0.175886
-0.18267,-0.18267
-0.188793,-0.188793
-0.194504,-0.194504
-0.19994,-0.19994
-0.205003,-0.205003
-0.209598,-0.209598
-0.213652,-0.213652
-0.217178,-0.217178
-0.220414,-0.220414
-0.22358,-0.22358
-0.226699,-0.226699
-0.22984,-0.22984
-0.232769,-0.232769
-0.2351,-0.2351
-0.23659,-0.23659
-0.237305,-0.237305
-0.237395,-0.237395
-0.237002,-0.237002
-0.23622,-0.23622
-0.234982,-0.234982
-0.233268,-0.233268
-0.23126,-0.23126
-0.229043,-0.229043
-0.226608,-0.226608
-0.224069,-0.224069
-0.221533,-0.221533
-0.219101,-0.219101
-0.216858,-0.216858
-0.214743,-0.214743
-0.212581,-0.212581
-0.210147,-0.210147
-0.207179,-0.207179
-0.203496,-0.203496
-0.198935,-0.198935
-0.193429,-0.193429
-0.187015,-0.187015
-0.179709,-0.179709
-0.171641,-0.171641
-0.162848,-0.162848
-0.153417,-0.153417
-0.143456,-0.143456
-0.132932,-0.132932
-0.121936,-0.121936
-0.11055,-0.11055
-0.0989319,-0.0989319
-0.0871776,-0.0871776
-0.0752985,-0.0752985
-0.0633906,-0.0633906
-0.0515108,-0.0515108
-0.0396699,-0.0396699
-0.0280147,-0.0280147
-0.0165644,-0.0165644
-0.00547515,-0.00547515
0.00511319,0.00511319
0.0152087,0.0152087
0.0247312,0.0247312
0.0337291,0.0337291
0.0421954,0.0421954
0.0501503,0.0501503
0.0575854,0.0575854
0.0644538,0.0644538
0.0706891,0.0706891
0.0762869,0.0762869
0.0813526,0.0813526
0.0859638,0.0859638
0.0901163,0.0901163
0.0937821,0.0937821
0.0971265,0.0971265
0.0999628,0.0999628
0.102228,0.102228
0.103972,0.103972
0.105245,0.105245
0.106089,0.106089
0.106591,0.106591
0.106827,0.106827
0.106838,0.106838
0.106584,0.106584
0.106022,0.106022
0.105151,0.105151
0.103955,0.103955
0.102398,0.102398
0.10049,0.10049
0.0982058,0.0982058
0.0955999,0.0955999
0.0927037,0.0927037
0.0895333,0.0895333
0.0861822,0.0861822
0.0826797,0.0826797
0.0790182,0.0790182
0.0752011,0.0752011
0.0711867,0.0711867
0.0669484,0.0669484
0.0624685,0.0624685
0.0577067,0.0577067
0.0527185,0.0527185
0.0474646,0.0474646
0.0419383,0.0419383
0.0361544,0.0361544
0.0301155,0.0301155
0.023888,0.023888
0.0175383,0.0175383
0.0111426,0.0111426
0.00479381,0.00479381
-0.00153193,-0.00153193
-0.00783677,-0.00783677
-0.0141321,-0.0141321
-0.0204806,-0.0204806
-0.0268423,-0.0268423
-0.0331407,-0.0331407
-0.039266,-0.039266
-0.0451332,-0.0451332
-0.0507165,-0.0507165
-0.0559709,-0.0559709
-0.0609168,-0.0609168
-0.065521,-0.065521
-0.0697527,-0.0697527
-0.0736216,-0.0736216
-0.0771302,-0.0771302
-0.0803035,-0.0803035
-0.0832213,-0.0832213
-0.0859495,-0.0859495
-0.0885685,-0.0885685
-0.0911056,-0.0911056
-0.0935638,-0.0935638
-0.0959517,-0.0959517
-0.0982538,-0.0982538
-0.100503,-0.100503
-0.102742,-0.102742
-0.105011,-0.105011
-0.107342,-0.107342
-0.109712,-0.109712
-0.112059,-0.112059
-0.114331,-0.114331
-0.116485,-0.116485
-0.118535,-0.118535
-0.120505,-0.120505
-0.122407,-0.122407
-0.124261,-0.124261
-0.126064,-0.126064
-0.127836,-0.127836
-0.129585,-0.129585
-0.131326,-0.131326
-0.133095,-0.133095
-0.134916,-0.134916
-0.136787,-0.136787
-0.138694,-0.138694
-0.140593,-0.140593
-0.142458,-0.142458
-0.144257,-0.144257
-0.145973,-0.145973
-0.147597,-0.147597
-0.149103,-0.149103
-0.15047,-0.15047
-0.151682,-0.151682
-0.15275,-0.15275
-0.153678,-0.153678
-0.154466,-0.154466
-0.155123,-0.155123
-0.155664,-0.155664
-0.156087,-0.156087
-0.156414,-0.156414
-0.156664,-0.156664
-0.156856,-0.156856
-0.157028,-0.157028
-0.157211,-0.157211
-0.157404,-0.157404
-0.157618,-0.157618
-0.157861,-0.157861
-0.15813,-0.15813
-0.158412,-0.158412
-0.158681,-0.158681
-0.158904,-0.158904
-0.159068,-0.159068
-0.159178,-0.159178
-0.159256,-0.159256
-0.159313,-0.159313
-0.159365,-0.159365
-0.159402,-0.159402
-0.159419,-0.159419
-0.159413,-0.159413
-0.159376,-0.159376
-0.159296,-0.159296
-0.159167,-0.159167
-0.158982,-0.158982
-0.158752,-0.158752
-0.158514,-0.158514
-0.158276,-0.158276
-0.158031,-0.158031
-0.157767,-0.157767
-0.157477,-0.157477
-0.157142,-0.157142
-0.156755,-0.156755
-0.15632,-0.15632
-0.155837,-0.155837
-0.155299,-0.155299
-0.154689,-0.154689
-0.153997,-0.153997
-0.153234,-0.153234
-0.152405,-0.152405
-0.151501,-0.151501
-0.150509,-0.150509
-0.149414,-0.149414
-0.148199,-0.148199
-0.14687,-0.14687
-0.145429,-0.145429
-0.143899,-0.143899
-0.142305,-0.142305
-0.140658,-0.140658
-0.138973,-0.138973
-0.137235,-0.137235
-0.13544,-0.13544
-0.133576,-0.133576
-0.131621,-0.131621
-0.129574,-0.129574
-0.12744,-0.12744
-0.12521,-0.12521
-0.122899,-0.122899
-0.120499,-0.120499
-0.118021,-0.118021
-0.11547,-0.11547
-0.112851,-0.112851
-0.110175,-0.110175
-0.107425,-0.107425
-0.104603,-0.104603
-0.101712,-0.101712
-0.0987361,-0.0987361
-0.0956632,-0.0956632
-0.0924634,-0.0924634
-0.090277,-0.090277
