Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 , -1.20515e-09
 1.99947e-04 ,  2.02377e-09
 2.99803e-04 ,  1.85964e-08
 3.99893e-04 ,  1.19180e-07
 4.99983e-04 ,  3.92441e-07
 5.99840e-04 ,  7.49908e-07
 6.99930e-04 ,  5.69260e-08
 7.99787e-04 ,  2.12022e-06
 8.99877e-04 ,  1.73836e-04
 9.99967e-04 , -1.93180e-04
 1.09982e-03 ,  2.07815e-04
 1.19991e-03 ,  9.70365e-03
 1.29977e-03 ,  2.02639e-02
 1.39986e-03 ,  2.46387e-02
 1.49995e-03 ,  2.96188e-02
 1.59981e-03 ,  3.78880e-02
 1.69990e-03 ,  4.67827e-02
 1.79999e-03 ,  5.46359e-02
 1.89984e-03 ,  6.12212e-02
 1.99993e-03 ,  6.61394e-02
 2.09979e-03 ,  6.90603e-02
 2.19988e-03 ,  7.08926e-02
 2.29997e-03 ,  7.28541e-02
 2.39983e-03 ,  7.54250e-02
 2.49992e-03 ,  7.83487e-02
 2.59977e-03 ,  8.12265e-02
 2.69986e-03 ,  8.38260e-02
 2.79995e-03 ,  8.58799e-02
 2.89981e-03 ,  8.77631e-02
 2.99990e-03 ,  8.94656e-02
 3.09999e-03 ,  9.07435e-02
 3.19985e-03 ,  9.14189e-02
 3.29994e-03 ,  9.18535e-02
 3.39979e-03 ,  9.30430e-02
 3.49988e-03 ,  9.57788e-02
 3.59997e-03 ,  9.97158e-02
 3.69983e-03 ,  1.03662e-01
 3.79992e-03 ,  1.06875e-01
 3.89978e-03 ,  1.08841e-01
 3.99987e-03 ,  1.10354e-01
 4.09996e-03 ,  1.11794e-01
 4.19981e-03 ,  1.13117e-01
 4.29990e-03 ,  1.13893e-01
 4.39999e-03 ,  1.13792e-01
 4.49985e-03 ,  1.12469e-01
 4.59994e-03 ,  1.09315e-01
 4.69980e-03 ,  1.03618e-01
 4.79989e-03 ,  9.62123e-02
 4.89998e-03 ,  8.75390e-02
 4.99983e-03 ,  7.80076e-02
 5.09992e-03 ,  6.82922e-02
 5.19978e-03 ,  5.90948e-02
 5.29987e-03 ,  5.08250e-02
 5.39996e-03 ,  4.35051e-02
 5.49982e-03 ,  3.72020e-02
 5.59991e-03 ,  3.19287e-02
 5.70000e-03 ,  2.75065e-02
 5.79985e-03 ,  2.38495e-02
 5.89994e-03 ,  2.08273e-02
 5.99980e-03 ,  1.81240e-02
 6.09989e-03 ,  1.54795e-02
 6.19998e-03 ,  1.29429e-02
 6.29984e-03 ,  1.05420e-02
 6.39993e-03 ,  8.22845e-03
 6.49978e-03 ,  5.89085e-03
 6.59987e-03 ,  3.42381e-03
 6.69996e-03 ,  7.83034e-04
 6.79982e-03 , -2.10389e-03
 6.89991e-03 , -5.26005e-03
 7.00000e-03 , -8.78340e-03
 7.09986e-03 , -1.25343e-02
 7.19995e-03 , -1.63232e-02
 7.29980e-03 , -1.99686e-02
 7.39989e-03 , -2.32354e-02
 7.49998e-03 , -2.60929e-02
 7.59984e-03 , -2.86646e-02
 7.69993e-03 , -3.11042e-02
 7.79979e-03 , -3.35160e-02
 7.89988e-03 , -3.58895e-02
 7.99997e-03 , -3.81793e-02
 8.09982e-03 , -4.04189e-02
 8.19991e-03 , -4.27905e-02
 8.29977e-03 , -4.54015e-02
 8.39986e-03 , -4.82756e-02
 8.49995e-03 , -5.15269e-02
 8.59981e-03 , -5.53514e-02
 8.69990e-03 , -5.98366e-02
 8.79999e-03 , -6.49908e-02
 8.89984e-03 , -7.07551e-02
 8.99993e-03 , -7.70908e-02
 9.09979e-03 , -8.38387e-02
 9.19988e-03 , -9.08439e-02
 9.29997e-03 , -9.79541e-02
 9.39983e-03 , -1.04774e-01
 9.49992e-03 , -1.11347e-01
 9.59977e-03 , -1.18085e-01
 9.69986e-03 , -1.25097e-01
 9.79995e-03 , -1.32006e-01
 9.89981e-03 , -1.38844e-01
 9.99990e-03 , -1.46191e-01
 1.01000e-02 , -1.53977e-01
 1.01998e-02 , -1.61896e-01
 1.02999e-02 , -1.69783e-01
 1.03998e-02 , -1.77430e-01
 1.04999e-02 , -1.84999e-01
 1.06000e-02 , -1.92592e-01
 1.06998e-02 , -2.00274e-01
 1.07999e-02 , -2.07846e-01
