el8_pstrn , el8_pstrn
-5.47515e-03 , -5.47515e-03
 5.11319e-03 ,  5.11319e-03
 1.52087e-02 ,  1.52087e-02
 2.47312e-02 ,  2.47312e-02
 3.37291e-02 ,  3.37291e-02
 4.21954e-02 ,  4.21954e-02
 5.01503e-02 ,  5.01503e-02
 5.75854e-02 ,  5.75854e-02
 6.44538e-02 ,  6.44538e-02
 7.06891e-02 ,  7.06891e-02
 7.62869e-02 ,  7.62869e-02
 8.13526e-02 ,  8.13526e-02
 8.59638e-02 ,  8.59638e-02
 9.01163e-02 ,  9.01163e-02
 9.37821e-02 ,  9.37821e-02
 9.71265e-02 ,  9.71265e-02
 9.99628e-02 ,  9.99628e-02
 1.02228e-01 ,  1.02228e-01
 1.03972e-01 ,  1.03972e-01
 1.05245e-01 ,  1.05245e-01
 1.06089e-01 ,  1.06089e-01
 1.06591e-01 ,  1.06591e-01
 1.06827e-01 ,  1.06827e-01
 1.06838e-01 ,  1.06838e-01
 1.06584e-01 ,  1.06584e-01
 1.06022e-01 ,  1.06022e-01
 1.05151e-01 ,  1.05151e-01
 1.03955e-01 ,  1.03955e-01
 1.02398e-01 ,  1.02398e-01
 1.00490e-01 ,  1.00490e-01
 9.82058e-02 ,  9.82058e-02
 9.55999e-02 ,  9.55999e-02
 9.27037e-02 ,  9.27037e-02
 8.95333e-02 ,  8.95333e-02
 8.61822e-02 ,  8.61822e-02
 8.26797e-02 ,  8.26797e-02
 7.90182e-02 ,  7.90182e-02
 7.52011e-02 ,  7.52011e-02
 7.11867e-02 ,  7.11867e-02
 6.69484e-02 ,  6.69484e-02
 6.24685e-02 ,  6.24685e-02
 5.77067e-02 ,  5.77067e-02
 5.27185e-02 ,  5.27185e-02
 4.74646e-02 ,  4.74646e-02
 4.19383e-02 ,  4.19383e-02
 3.61544e-02 ,  3.61544e-02
 3.01155e-02 ,  3.01155e-02
 2.38880e-02 ,  2.38880e-02
 1.75383e-02 ,  1.75383e-02
 1.11426e-02 ,  1.11426e-02
 4.79381e-03 ,  4.79381e-03
-1.53193e-03 , -1.53193e-03
-7.83677e-03 , -7.83677e-03
-1.41321e-02 , -1.41321e-02
-2.04806e-02 , -2.04806e-02
-2.68423e-02 , -2.68423e-02
-3.31407e-02 , -3.31407e-02
-3.92660e-02 , -3.92660e-02
-4.51332e-02 , -4.51332e-02
-5.07165e-02 , -5.07165e-02
-5.59709e-02 , -5.59709e-02
-6.09168e-02 , -6.09168e-02
-6.55210e-02 , -6.55210e-02
-6.97527e-02 , -6.97527e-02
-7.36216e-02 , -7.36216e-02
-7.71302e-02 , -7.71302e-02
-8.03035e-02 , -8.03035e-02
-8.32213e-02 , -8.32213e-02
-8.59495e-02 , -8.59495e-02
-8.85685e-02 , -8.85685e-02
-9.11056e-02 , -9.11056e-02
-9.35638e-02 , -9.35638e-02
-9.59517e-02 , -9.59517e-02
-9.82538e-02 , -9.82538e-02
-1.00503e-01 , -1.00503e-01
-1.02742e-01 , -1.02742e-01
-1.05011e-01 , -1.05011e-01
-1.07342e-01 , -1.07342e-01
-1.09712e-01 , -1.09712e-01
-1.12059e-01 , -1.12059e-01
-1.14331e-01 , -1.14331e-01
-1.16485e-01 , -1.16485e-01
-1.18535e-01 , -1.18535e-01
-1.20505e-01 , -1.20505e-01
-1.22407e-01 , -1.22407e-01
-1.24261e-01 , -1.24261e-01
-1.26064e-01 , -1.26064e-01
-1.27836e-01 , -1.27836e-01
-1.29585e-01 , -1.29585e-01
-1.31326e-01 , -1.31326e-01
-1.33095e-01 , -1.33095e-01
-1.34916e-01 , -1.34916e-01
-1.36787e-01 , -1.36787e-01
-1.38694e-01 , -1.38694e-01
-1.40593e-01 , -1.40593e-01
-1.42458e-01 , -1.42458e-01
-1.44257e-01 , -1.44257e-01
-1.45973e-01 , -1.45973e-01
-1.47597e-01 , -1.47597e-01
-1.49103e-01 , -1.49103e-01
-1.50470e-01 , -1.50470e-01
-1.51682e-01 , -1.51682e-01
-1.52750e-01 , -1.52750e-01
-1.53678e-01 , -1.53678e-01
-1.54466e-01 , -1.54466e-01
-1.55123e-01 , -1.55123e-01
-1.55664e-01 , -1.55664e-01
-1.56087e-01 , -1.56087e-01
-1.56414e-01 , -1.56414e-01
-1.56664e-01 , -1.56664e-01
-1.56856e-01 , -1.56856e-01
-1.57028e-01 , -1.57028e-01
-1.57211e-01 , -1.57211e-01
-1.57404e-01 , -1.57404e-01
-1.57618e-01 , -1.57618e-01
-1.57861e-01 , -1.57861e-01
-1.58130e-01 , -1.58130e-01
-1.58412e-01 , -1.58412e-01
-1.58681e-01 , -1.58681e-01
-1.58904e-01 , -1.58904e-01
-1.59068e-01 , -1.59068e-01
-1.59178e-01 , -1.59178e-01
-1.59256e-01 , -1.59256e-01
-1.59313e-01 , -1.59313e-01
-1.59365e-01 , -1.59365e-01
-1.59402e-01 , -1.59402e-01
-1.59419e-01 , -1.59419e-01
-1.59413e-01 , -1.59413e-01
-1.59376e-01 , -1.59376e-01
-1.59296e-01 , -1.59296e-01
-1.59167e-01 , -1.59167e-01
-1.58982e-01 , -1.58982e-01
-1.58752e-01 , -1.58752e-01
-1.58514e-01 , -1.58514e-01
-1.58276e-01 , -1.58276e-01
-1.58031e-01 , -1.58031e-01
-1.57767e-01 , -1.57767e-01
-1.57477e-01 , -1.57477e-01
-1.57142e-01 , -1.57142e-01
-1.56755e-01 , -1.56755e-01
-1.56320e-01 , -1.56320e-01
-1.55837e-01 , -1.55837e-01
-1.55299e-01 , -1.55299e-01
-1.54689e-01 , -1.54689e-01
-1.53997e-01 , -1.53997e-01
-1.53234e-01 , -1.53234e-01
-1.52405e-01 , -1.52405e-01
-1.51501e-01 , -1.51501e-01
-1.50509e-01 , -1.50509e-01
-1.49414e-01 , -1.49414e-01
-1.48199e-01 , -1.48199e-01
-1.46870e-01 , -1.46870e-01
-1.45429e-01 , -1.45429e-01
-1.43899e-01 , -1.43899e-01
-1.42305e-01 , -1.42305e-01
-1.40658e-01 , -1.40658e-01
-1.38973e-01 , -1.38973e-01
-1.37235e-01 , -1.37235e-01
-1.35440e-01 , -1.35440e-01
-1.33576e-01 , -1.33576e-01
-1.31621e-01 , -1.31621e-01
-1.29574e-01 , -1.29574e-01
-1.27440e-01 , -1.27440e-01
-1.25210e-01 , -1.25210e-01
-1.22899e-01 , -1.22899e-01
-1.20499e-01 , -1.20499e-01
-1.18021e-01 , -1.18021e-01
-1.15470e-01 , -1.15470e-01
-1.12851e-01 , -1.12851e-01
-1.10175e-01 , -1.10175e-01
-1.07425e-01 , -1.07425e-01
-1.04603e-01 , -1.04603e-01
-1.01712e-01 , -1.01712e-01
-9.87361e-02 , -9.87361e-02
-9.56632e-02 , -9.56632e-02
-9.24634e-02 , -9.24634e-02
-9.02770e-02 , -9.02770e-02
