Time , el8_pstrn
0.0,0.0
9.98567e-5,3.7866e-6
0.000199947,3.96985e-5
0.000299803,0.000142117
0.000399893,0.00031124
0.000499983,0.000892997
0.00059984,0.0272228
0.00069993,0.0686989
0.000799787,0.0965824
0.000899877,0.127306
0.000999967,0.177305
0.00109982,0.216512
0.00119991,0.245293
0.00129977,0.260002
0.00139986,0.259199
0.00149995,0.245391
0.00159981,0.230921
0.0016999,0.227623
0.00179999,0.230359
0.00189984,0.230245
0.00199993,0.225722
0.00209979,0.214058
0.00219988,0.19771
0.00229997,0.182392
0.00239983,0.172799
0.00249992,0.170308
0.00259977,0.16911
0.00269986,0.166504
0.00279995,0.162254
0.00289981,0.156005
0.0029999,0.14951
0.00309999,0.143325
0.00319985,0.136374
0.00329994,0.129727
0.00339979,0.124303
0.00349988,0.120597
0.00359997,0.118486
0.00369983,0.119319
0.00379992,0.122966
0.00389978,0.129274
0.00399987,0.136844
0.00409996,0.143486
0.00419981,0.150175
0.0042999,0.158477
0.00439999,0.168632
0.00449985,0.179535
0.00459994,0.189729
0.0046998,0.198722
0.00479989,0.205867
0.00489998,0.210385
0.00499983,0.213168
0.00509992,0.215953
0.00519978,0.216997
0.00529987,0.214692
0.00539996,0.210994
0.00549982,0.207568
0.00559991,0.203057
0.0057,0.197292
0.00579985,0.190799
0.00589994,0.184066
0.0059998,0.177198
0.00609989,0.171097
0.00619998,0.16578
0.00629984,0.161648
0.00639993,0.15888
0.00649978,0.158037
0.00659987,0.158688
0.00669996,0.160881
0.00679982,0.16447
0.00689991,0.168912
0.007,0.173249
0.00709986,0.176781
0.00719995,0.180293
0.0072998,0.183604
0.00739989,0.18642
0.00749998,0.188683
0.00759984,0.190387
0.00769993,0.191624
0.00779979,0.19221
0.00789988,0.192033
0.00799997,0.191135
0.00809982,0.189602
0.00819991,0.18739
0.00829977,0.1844
0.00839986,0.180216
0.00849995,0.174749
0.00859981,0.168494
0.0086999,0.161735
0.00879999,0.154655
0.00889984,0.147397
0.00899993,0.140117
0.00909979,0.133057
0.00919988,0.126386
0.00929997,0.120223
0.00939983,0.114579
0.00949992,0.109302
0.00959977,0.104238
0.00969986,0.0991718
0.00979995,0.0940373
0.00989981,0.08882
0.0099999,0.0835406
0.0101,0.078203
0.0101998,0.0728003
0.0102999,0.0673096
0.0103998,0.0617466
0.0104999,0.0561386
0.0106,0.0505938
0.0106998,0.0452065
0.0107999,0.0400526
0.0108998,0.035249
0.0109999,0.0308135
0.0111,0.0267764
0.0111998,0.0231283
0.0112999,0.0198284
0.0114,0.0168542
0.0114999,0.0141
0.0115999,0.0114854
0.0116998,0.00896579
0.0117999,0.00645967
0.0119,0.00393148
0.0119998,0.00134612
0.0120999,-0.00136455
0.0121998,-0.00419314
0.0122999,-0.00712944
0.0124,-0.0101304
