el8_pstrn , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 5.55478e-06 ,  5.55478e-06
 5.94357e-05 ,  5.94357e-05
 2.11216e-04 ,  2.11216e-04
 4.53593e-04 ,  4.53593e-04
 5.36007e-04 ,  5.36007e-04
 1.92171e-02 ,  1.92171e-02
 1.06919e-01 ,  1.06919e-01
 7.88840e-02 ,  7.88840e-02
 4.49039e-02 ,  4.49039e-02
 7.20935e-03 ,  7.20935e-03
-3.12066e-02 , -3.12066e-02
-6.13627e-02 , -6.13627e-02
-8.15400e-02 , -8.15400e-02
-8.39657e-02 , -8.39657e-02
-7.78708e-02 , -7.78708e-02
-7.32293e-02 , -7.32293e-02
-6.73462e-02 , -6.73462e-02
-5.92392e-02 , -5.92392e-02
-5.27723e-02 , -5.27723e-02
-4.57745e-02 , -4.57745e-02
-3.61605e-02 , -3.61605e-02
-2.70058e-02 , -2.70058e-02
-2.01187e-02 , -2.01187e-02
-1.50902e-02 , -1.50902e-02
-1.07004e-02 , -1.07004e-02
-9.13254e-03 , -9.13254e-03
-6.49087e-03 , -6.49087e-03
-1.97399e-03 , -1.97399e-03
 2.07092e-03 ,  2.07092e-03
 5.91630e-03 ,  5.91630e-03
 1.07054e-02 ,  1.07054e-02
 1.60659e-02 ,  1.60659e-02
 2.33015e-02 ,  2.33015e-02
 3.39310e-02 ,  3.39310e-02
 5.01326e-02 ,  5.01326e-02
 7.10346e-02 ,  7.10346e-02
 9.52411e-02 ,  9.52411e-02
 1.20535e-01 ,  1.20535e-01
 1.46600e-01 ,  1.46600e-01
 1.71488e-01 ,  1.71488e-01
 1.93392e-01 ,  1.93392e-01
 2.13091e-01 ,  2.13091e-01
 2.29084e-01 ,  2.29084e-01
 2.40385e-01 ,  2.40385e-01
 2.49069e-01 ,  2.49069e-01
 2.56664e-01 ,  2.56664e-01
 2.63817e-01 ,  2.63817e-01
 2.70226e-01 ,  2.70226e-01
 2.76048e-01 ,  2.76048e-01
 2.81628e-01 ,  2.81628e-01
 2.86679e-01 ,  2.86679e-01
 2.90168e-01 ,  2.90168e-01
 2.91905e-01 ,  2.91905e-01
 2.93659e-01 ,  2.93659e-01
 2.96525e-01 ,  2.96525e-01
 2.99307e-01 ,  2.99307e-01
 3.00628e-01 ,  3.00628e-01
 3.01160e-01 ,  3.01160e-01
 3.02336e-01 ,  3.02336e-01
 3.04123e-01 ,  3.04123e-01
 3.06189e-01 ,  3.06189e-01
 3.08115e-01 ,  3.08115e-01
 3.09939e-01 ,  3.09939e-01
 3.11679e-01 ,  3.11679e-01
 3.13360e-01 ,  3.13360e-01
 3.15560e-01 ,  3.15560e-01
 3.18501e-01 ,  3.18501e-01
 3.21740e-01 ,  3.21740e-01
 3.25138e-01 ,  3.25138e-01
 3.28910e-01 ,  3.28910e-01
 3.32540e-01 ,  3.32540e-01
 3.36580e-01 ,  3.36580e-01
 3.41241e-01 ,  3.41241e-01
 3.46223e-01 ,  3.46223e-01
 3.50918e-01 ,  3.50918e-01
 3.55011e-01 ,  3.55011e-01
 3.58518e-01 ,  3.58518e-01
 3.61564e-01 ,  3.61564e-01
 3.64095e-01 ,  3.64095e-01
 3.66078e-01 ,  3.66078e-01
 3.67533e-01 ,  3.67533e-01
 3.68513e-01 ,  3.68513e-01
 3.69019e-01 ,  3.69019e-01
 3.69022e-01 ,  3.69022e-01
 3.68563e-01 ,  3.68563e-01
 3.67765e-01 ,  3.67765e-01
 3.66611e-01 ,  3.66611e-01
 3.65043e-01 ,  3.65043e-01
 3.63031e-01 ,  3.63031e-01
 3.60625e-01 ,  3.60625e-01
 3.57979e-01 ,  3.57979e-01
 3.55173e-01 ,  3.55173e-01
 3.52255e-01 ,  3.52255e-01
 3.49148e-01 ,  3.49148e-01
 3.45788e-01 ,  3.45788e-01
 3.42140e-01 ,  3.42140e-01
 3.38114e-01 ,  3.38114e-01
 3.33766e-01 ,  3.33766e-01
 3.29270e-01 ,  3.29270e-01
 3.24733e-01 ,  3.24733e-01
 3.20187e-01 ,  3.20187e-01
 3.15612e-01 ,  3.15612e-01
 3.10979e-01 ,  3.10979e-01
 3.06310e-01 ,  3.06310e-01
 3.01582e-01 ,  3.01582e-01
 2.96816e-01 ,  2.96816e-01
 2.92029e-01 ,  2.92029e-01
 2.87173e-01 ,  2.87173e-01
 2.82229e-01 ,  2.82229e-01
 2.77128e-01 ,  2.77128e-01
 2.71889e-01 ,  2.71889e-01
 2.66578e-01 ,  2.66578e-01
 2.61193e-01 ,  2.61193e-01
 2.55726e-01 ,  2.55726e-01
 2.50139e-01 ,  2.50139e-01
 2.44395e-01 ,  2.44395e-01
 2.38513e-01 ,  2.38513e-01
 2.32476e-01 ,  2.32476e-01
 2.26323e-01 ,  2.26323e-01
 2.20093e-01 ,  2.20093e-01
 2.13785e-01 ,  2.13785e-01
 2.07470e-01 ,  2.07470e-01
 2.01150e-01 ,  2.01150e-01
 1.94853e-01 ,  1.94853e-01
 1.88600e-01 ,  1.88600e-01
 1.82367e-01 ,  1.82367e-01
 1.76181e-01 ,  1.76181e-01
 1.70087e-01 ,  1.70087e-01
 1.64088e-01 ,  1.64088e-01
 1.58239e-01 ,  1.58239e-01
 1.52533e-01 ,  1.52533e-01
 1.47027e-01 ,  1.47027e-01
 1.41747e-01 ,  1.41747e-01
 1.36726e-01 ,  1.36726e-01
 1.32018e-01 ,  1.32018e-01
 1.27542e-01 ,  1.27542e-01
 1.23215e-01 ,  1.23215e-01
 1.19100e-01 ,  1.19100e-01
 1.15244e-01 ,  1.15244e-01
 1.11664e-01 ,  1.11664e-01
 1.08301e-01 ,  1.08301e-01
 1.05040e-01 ,  1.05040e-01
 1.01816e-01 ,  1.01816e-01
 9.84669e-02 ,  9.84669e-02
 9.48753e-02 ,  9.48753e-02
 9.10576e-02 ,  9.10576e-02
 8.71335e-02 ,  8.71335e-02
 8.31008e-02 ,  8.31008e-02
 7.87978e-02 ,  7.87978e-02
 7.40559e-02 ,  7.40559e-02
 6.90029e-02 ,  6.90029e-02
 6.35459e-02 ,  6.35459e-02
 5.75189e-02 ,  5.75189e-02
 5.06228e-02 ,  5.06228e-02
 4.26486e-02 ,  4.26486e-02
 3.37101e-02 ,  3.37101e-02
 2.47403e-02 ,  2.47403e-02
 1.60159e-02 ,  1.60159e-02
 7.48278e-03 ,  7.48278e-03
-9.73408e-04 , -9.73408e-04
-9.16228e-03 , -9.16228e-03
-1.47807e-02 , -1.47807e-02
-1.80861e-02 , -1.80861e-02
-1.98915e-02 , -1.98915e-02
-2.08485e-02 , -2.08485e-02
-2.16529e-02 , -2.16529e-02
-2.25683e-02 , -2.25683e-02
-2.32103e-02 , -2.32103e-02
-2.32786e-02 , -2.32786e-02
-2.28354e-02 , -2.28354e-02
-2.15790e-02 , -2.15790e-02
-1.83657e-02 , -1.83657e-02
-1.34585e-02 , -1.34585e-02
-8.11310e-03 , -8.11310e-03
-2.54604e-03 , -2.54604e-03
 2.25294e-03 ,  2.25294e-03
 5.84404e-03 ,  5.84404e-03
 9.01538e-03 ,  9.01538e-03
 1.20612e-02 ,  1.20612e-02
 1.48982e-02 ,  1.48982e-02
 1.76321e-02 ,  1.76321e-02
 2.00669e-02 ,  2.00669e-02
 2.25962e-02 ,  2.25962e-02
 2.49012e-02 ,  2.49012e-02
 2.73225e-02 ,  2.73225e-02
 2.92037e-02 ,  2.92037e-02
 2.99724e-02 ,  2.99724e-02
 3.04658e-02 ,  3.04658e-02
 3.08905e-02 ,  3.08905e-02
 3.09917e-02 ,  3.09917e-02
 3.09490e-02 ,  3.09490e-02
 3.02695e-02 ,  3.02695e-02
 2.91084e-02 ,  2.91084e-02
 2.75931e-02 ,  2.75931e-02
 2.60771e-02 ,  2.60771e-02
 2.52183e-02 ,  2.52183e-02
 2.51348e-02 ,  2.51348e-02
 2.58155e-02 ,  2.58155e-02
 2.66159e-02 ,  2.66159e-02
 2.70992e-02 ,  2.70992e-02
 2.77801e-02 ,  2.77801e-02
 2.85429e-02 ,  2.85429e-02
 2.92113e-02 ,  2.92113e-02
 2.96996e-02 ,  2.96996e-02
 2.98035e-02 ,  2.98035e-02
 2.91905e-02 ,  2.91905e-02
 2.88027e-02 ,  2.88027e-02
 2.84703e-02 ,  2.84703e-02
 2.76622e-02 ,  2.76622e-02
 2.62268e-02 ,  2.62268e-02
 2.53031e-02 ,  2.53031e-02
 2.41623e-02 ,  2.41623e-02
 2.22513e-02 ,  2.22513e-02
 1.96199e-02 ,  1.96199e-02
 1.66870e-02 ,  1.66870e-02
 1.36630e-02 ,  1.36630e-02
 1.04254e-02 ,  1.04254e-02
 6.54687e-03 ,  6.54687e-03
 2.04016e-03 ,  2.04016e-03
-2.51606e-03 , -2.51606e-03
-6.76153e-03 , -6.76153e-03
-1.07197e-02 , -1.07197e-02
-1.40716e-02 , -1.40716e-02
-1.67704e-02 , -1.67704e-02
-1.91085e-02 , -1.91085e-02
-2.13523e-02 , -2.13523e-02
-2.35226e-02 , -2.35226e-02
-2.53639e-02 , -2.53639e-02
-2.69375e-02 , -2.69375e-02
-2.81365e-02 , -2.81365e-02
-2.88314e-02 , -2.88314e-02
-2.88862e-02 , -2.88862e-02
-2.86107e-02 , -2.86107e-02
-2.74948e-02 , -2.74948e-02
-2.61170e-02 , -2.61170e-02
-2.51450e-02 , -2.51450e-02
-2.43123e-02 , -2.43123e-02
-2.36273e-02 , -2.36273e-02
-2.28844e-02 , -2.28844e-02
-2.18986e-02 , -2.18986e-02
-2.08299e-02 , -2.08299e-02
-2.02177e-02 , -2.02177e-02
-2.00304e-02 , -2.00304e-02
-2.00383e-02 , -2.00383e-02
-2.00326e-02 , -2.00326e-02
-1.97971e-02 , -1.97971e-02
-1.95642e-02 , -1.95642e-02
-1.88645e-02 , -1.88645e-02
-1.80198e-02 , -1.80198e-02
-1.73644e-02 , -1.73644e-02
-1.70530e-02 , -1.70530e-02
-1.68802e-02 , -1.68802e-02
-1.67595e-02 , -1.67595e-02
-1.66161e-02 , -1.66161e-02
-1.66152e-02 , -1.66152e-02
-1.67231e-02 , -1.67231e-02
-1.69355e-02 , -1.69355e-02
-1.70109e-02 , -1.70109e-02
-1.70631e-02 , -1.70631e-02
-1.71496e-02 , -1.71496e-02
-1.71691e-02 , -1.71691e-02
-1.72227e-02 , -1.72227e-02
-1.73219e-02 , -1.73219e-02
-1.73773e-02 , -1.73773e-02
-1.72593e-02 , -1.72593e-02
-1.69244e-02 , -1.69244e-02
-1.64507e-02 , -1.64507e-02
-1.58615e-02 , -1.58615e-02
-1.50411e-02 , -1.50411e-02
-1.41153e-02 , -1.41153e-02
-1.29791e-02 , -1.29791e-02
-1.15148e-02 , -1.15148e-02
-1.00452e-02 , -1.00452e-02
-8.86223e-03 , -8.86223e-03
-7.82642e-03 , -7.82642e-03
-6.50841e-03 , -6.50841e-03
-4.99622e-03 , -4.99622e-03
-3.52560e-03 , -3.52560e-03
-2.20354e-03 , -2.20354e-03
-1.13707e-03 , -1.13707e-03
-2.72597e-04 , -2.72597e-04
 5.22673e-04 ,  5.22673e-04
 1.17360e-03 ,  1.17360e-03
 1.63158e-03 ,  1.63158e-03
 1.84836e-03 ,  1.84836e-03
