Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 ,  1.78794e-06
 1.99947e-04 ,  3.62679e-05
 2.99803e-04 ,  1.53289e-04
 3.99893e-04 ,  3.59577e-04
 4.99983e-04 ,  4.18063e-04
 5.99840e-04 ,  2.01177e-02
 6.99930e-04 ,  9.70354e-02
 7.99787e-04 ,  1.41301e-01
 8.99877e-04 ,  1.78289e-01
 9.99967e-04 ,  2.27042e-01
 1.09982e-03 ,  2.65611e-01
 1.19991e-03 ,  2.92710e-01
 1.29977e-03 ,  3.12508e-01
 1.39986e-03 ,  3.33384e-01
 1.49995e-03 ,  3.54198e-01
 1.59981e-03 ,  3.72973e-01
 1.69990e-03 ,  3.93556e-01
 1.79999e-03 ,  4.15455e-01
 1.89984e-03 ,  4.36402e-01
 1.99993e-03 ,  4.56061e-01
 2.09979e-03 ,  4.73250e-01
 2.19988e-03 ,  4.87069e-01
 2.29997e-03 ,  4.97990e-01
 2.39983e-03 ,  5.07423e-01
 2.49992e-03 ,  5.16251e-01
 2.59977e-03 ,  5.23540e-01
 2.69986e-03 ,  5.29263e-01
 2.79995e-03 ,  5.34242e-01
 2.89981e-03 ,  5.38611e-01
 2.99990e-03 ,  5.42750e-01
 3.09999e-03 ,  5.47084e-01
 3.19985e-03 ,  5.51388e-01
 3.29994e-03 ,  5.55478e-01
 3.39979e-03 ,  5.58297e-01
 3.49988e-03 ,  5.58746e-01
 3.59997e-03 ,  5.56287e-01
 3.69983e-03 ,  5.51182e-01
 3.79992e-03 ,  5.43887e-01
 3.89978e-03 ,  5.34733e-01
 3.99987e-03 ,  5.23459e-01
 4.09996e-03 ,  5.10077e-01
 4.19981e-03 ,  4.95975e-01
 4.29990e-03 ,  4.81586e-01
 4.39999e-03 ,  4.66802e-01
 4.49985e-03 ,  4.52104e-01
 4.59994e-03 ,  4.38358e-01
 4.69980e-03 ,  4.26139e-01
 4.79989e-03 ,  4.14650e-01
 4.89998e-03 ,  4.03908e-01
 4.99983e-03 ,  3.93223e-01
 5.09992e-03 ,  3.82913e-01
 5.19978e-03 ,  3.74098e-01
 5.29987e-03 ,  3.65445e-01
 5.39996e-03 ,  3.56379e-01
 5.49982e-03 ,  3.46985e-01
 5.59991e-03 ,  3.37971e-01
 5.70000e-03 ,  3.29123e-01
 5.79985e-03 ,  3.20650e-01
 5.89994e-03 ,  3.12470e-01
 5.99980e-03 ,  3.04594e-01
 6.09989e-03 ,  2.97220e-01
 6.19998e-03 ,  2.90049e-01
 6.29984e-03 ,  2.82432e-01
 6.39993e-03 ,  2.74239e-01
 6.49978e-03 ,  2.65541e-01
 6.59987e-03 ,  2.56776e-01
 6.69996e-03 ,  2.48118e-01
 6.79982e-03 ,  2.39259e-01
 6.89991e-03 ,  2.30277e-01
 7.00000e-03 ,  2.21237e-01
 7.09986e-03 ,  2.12295e-01
 7.19995e-03 ,  2.03351e-01
 7.29980e-03 ,  1.94551e-01
 7.39989e-03 ,  1.85911e-01
 7.49998e-03 ,  1.77344e-01
 7.59984e-03 ,  1.68849e-01
 7.69993e-03 ,  1.60393e-01
 7.79979e-03 ,  1.52025e-01
 7.89988e-03 ,  1.43664e-01
 7.99997e-03 ,  1.35316e-01
 8.09982e-03 ,  1.26891e-01
 8.19991e-03 ,  1.18236e-01
 8.29977e-03 ,  1.09327e-01
 8.39986e-03 ,  9.99350e-02
