Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 , -1.24232e-06
 1.99947e-04 , -3.12874e-05
 2.99803e-04 , -1.36770e-04
 3.99893e-04 , -3.24241e-04
 4.99983e-04 , -3.53890e-04
 5.99840e-04 , -4.29512e-03
 6.99930e-04 , -3.31513e-02
 7.99787e-04 , -4.83476e-02
 8.99877e-04 , -6.72537e-02
 9.99967e-04 , -8.57625e-02
 1.09982e-03 , -1.04748e-01
 1.19991e-03 , -1.22565e-01
 1.29977e-03 , -1.37056e-01
 1.39986e-03 , -1.51602e-01
 1.49995e-03 , -1.64905e-01
 1.59981e-03 , -1.74806e-01
 1.69990e-03 , -1.80917e-01
 1.79999e-03 , -1.82722e-01
 1.89984e-03 , -1.80090e-01
 1.99993e-03 , -1.75356e-01
 2.09979e-03 , -1.71083e-01
 2.19988e-03 , -1.65715e-01
 2.29997e-03 , -1.59314e-01
 2.39983e-03 , -1.52931e-01
 2.49992e-03 , -1.48056e-01
 2.59977e-03 , -1.44187e-01
 2.69986e-03 , -1.42596e-01
 2.79995e-03 , -1.43800e-01
 2.89981e-03 , -1.47029e-01
 2.99990e-03 , -1.51778e-01
 3.09999e-03 , -1.57668e-01
 3.19985e-03 , -1.63636e-01
 3.29994e-03 , -1.69229e-01
 3.39979e-03 , -1.74552e-01
 3.49988e-03 , -1.80396e-01
 3.59997e-03 , -1.86306e-01
 3.69983e-03 , -1.92172e-01
 3.79992e-03 , -1.97668e-01
 3.89978e-03 , -2.03216e-01
 3.99987e-03 , -2.08582e-01
 4.09996e-03 , -2.13353e-01
 4.19981e-03 , -2.17717e-01
 4.29990e-03 , -2.20759e-01
 4.39999e-03 , -2.22223e-01
 4.49985e-03 , -2.22828e-01
 4.59994e-03 , -2.23187e-01
 4.69980e-03 , -2.23756e-01
 4.79989e-03 , -2.24455e-01
 4.89998e-03 , -2.25126e-01
 4.99983e-03 , -2.25403e-01
 5.09992e-03 , -2.25043e-01
 5.19978e-03 , -2.24072e-01
 5.29987e-03 , -2.23034e-01
 5.39996e-03 , -2.23307e-01
 5.49982e-03 , -2.25101e-01
 5.59991e-03 , -2.28389e-01
 5.70000e-03 , -2.32488e-01
 5.79985e-03 , -2.37133e-01
 5.89994e-03 , -2.42967e-01
 5.99980e-03 , -2.49442e-01
 6.09989e-03 , -2.55570e-01
 6.19998e-03 , -2.60977e-01
 6.29984e-03 , -2.65414e-01
 6.39993e-03 , -2.69199e-01
 6.49978e-03 , -2.72531e-01
 6.59987e-03 , -2.75653e-01
 6.69996e-03 , -2.78479e-01
 6.79982e-03 , -2.80659e-01
 6.89991e-03 , -2.82052e-01
 7.00000e-03 , -2.82988e-01
 7.09986e-03 , -2.83551e-01
 7.19995e-03 , -2.83702e-01
 7.29980e-03 , -2.83576e-01
 7.39989e-03 , -2.83212e-01
 7.49998e-03 , -2.82557e-01
 7.59984e-03 , -2.81562e-01
 7.69993e-03 , -2.80175e-01
 7.79979e-03 , -2.78356e-01
 7.89988e-03 , -2.76033e-01
 7.99997e-03 , -2.73170e-01
 8.09982e-03 , -2.69737e-01
 8.19991e-03 , -2.65710e-01
 8.29977e-03 , -2.61175e-01
 8.39986e-03 , -2.56211e-01
 8.49995e-03 , -2.51001e-01
 8.59981e-03 , -2.45840e-01
 8.69990e-03 , -2.40921e-01
 8.79999e-03 , -2.36398e-01
 8.89984e-03 , -2.32360e-01
 8.99993e-03 , -2.28808e-01
 9.09979e-03 , -2.25771e-01
 9.19988e-03 , -2.23243e-01
 9.29997e-03 , -2.21193e-01
 9.39983e-03 , -2.19594e-01
 9.49992e-03 , -2.18337e-01
 9.59977e-03 , -2.17287e-01
 9.69986e-03 , -2.16291e-01
 9.79995e-03 , -2.15241e-01
 9.89981e-03 , -2.14091e-01
 9.99990e-03 , -2.12787e-01
 1.01000e-02 , -2.11251e-01
 1.01998e-02 , -2.09452e-01
 1.02999e-02 , -2.07381e-01
 1.03998e-02 , -2.05080e-01
 1.04999e-02 , -2.02608e-01
 1.06000e-02 , -2.00060e-01
 1.06998e-02 , -1.97521e-01
 1.07999e-02 , -1.95008e-01
 1.08998e-02 , -1.92542e-01
 1.09999e-02 , -1.90107e-01
 1.11000e-02 , -1.87683e-01
 1.11998e-02 , -1.85243e-01
 1.12999e-02 , -1.82753e-01
 1.14000e-02 , -1.80218e-01
 1.14999e-02 , -1.77704e-01
 1.15999e-02 , -1.75204e-01
 1.16998e-02 , -1.72732e-01
 1.17999e-02 , -1.70306e-01
 1.19000e-02 , -1.67933e-01
 1.19998e-02 , -1.65615e-01
 1.20999e-02 , -1.63343e-01
 1.21998e-02 , -1.61140e-01
 1.22999e-02 , -1.59022e-01
 1.24000e-02 , -1.57026e-01
 1.24998e-02 , -1.55175e-01
 1.25999e-02 , -1.53471e-01
 1.27000e-02 , -1.51913e-01
 1.27999e-02 , -1.50497e-01
 1.28999e-02 , -1.49216e-01
 1.29998e-02 , -1.48070e-01
 1.30999e-02 , -1.47034e-01
 1.32000e-02 , -1.46074e-01
 1.32998e-02 , -1.45111e-01
 1.33999e-02 , -1.44129e-01
 1.34998e-02 , -1.43116e-01
 1.35999e-02 , -1.41970e-01
 1.37000e-02 , -1.40534e-01
 1.37998e-02 , -1.38702e-01
 1.38999e-02 , -1.36385e-01
 1.40000e-02 , -1.33555e-01
 1.40999e-02 , -1.30233e-01
 1.41999e-02 , -1.26478e-01
 1.42998e-02 , -1.22383e-01
 1.43999e-02 , -1.17880e-01
 1.45000e-02 , -1.12889e-01
 1.45998e-02 , -1.07394e-01
 1.46999e-02 , -1.01448e-01
 1.47998e-02 , -9.51374e-02
 1.48999e-02 , -8.84871e-02
 1.50000e-02 , -8.16009e-02
 1.50998e-02 , -7.48290e-02
 1.51999e-02 , -6.83346e-02
 1.52998e-02 , -6.21881e-02
 1.53999e-02 , -5.62758e-02
 1.54999e-02 , -5.04308e-02
 1.55998e-02 , -4.47927e-02
 1.56999e-02 , -3.96836e-02
 1.58000e-02 , -3.50511e-02
 1.58998e-02 , -3.06108e-02
 1.59999e-02 , -2.61065e-02
 1.60998e-02 , -2.17717e-02
 1.61999e-02 , -1.91500e-02
 1.63000e-02 , -1.82444e-02
 1.63998e-02 , -1.98232e-02
 1.64999e-02 , -2.39246e-02
 1.65998e-02 , -2.88783e-02
 1.66999e-02 , -3.35906e-02
 1.68000e-02 , -3.79734e-02
 1.68998e-02 , -4.21164e-02
 1.69999e-02 , -4.60780e-02
 1.71000e-02 , -5.01899e-02
 1.71998e-02 , -5.48352e-02
 1.72999e-02 , -5.97370e-02
 1.73998e-02 , -6.46087e-02
 1.74999e-02 , -6.97185e-02
 1.76000e-02 , -7.45534e-02
 1.76998e-02 , -7.86976e-02
 1.77999e-02 , -8.25223e-02
 1.78998e-02 , -8.60565e-02
 1.79999e-02 , -8.92368e-02
 1.81000e-02 , -9.23387e-02
 1.81998e-02 , -9.53986e-02
 1.82999e-02 , -9.83208e-02
 1.84000e-02 , -1.00644e-01
 1.84998e-02 , -1.03039e-01
 1.85999e-02 , -1.05113e-01
 1.86998e-02 , -1.06353e-01
 1.87999e-02 , -1.07607e-01
