el8_pstrn , el8_pstrn
0.0,0.0
5.55478e-6,5.55478e-6
5.94357e-5,5.94357e-5
0.000211216,0.000211216
0.000453593,0.000453593
0.000536007,0.000536007
0.0192171,0.0192171
0.106919,0.106919
0.078884,0.078884
0.0449039,0.0449039
0.00720935,0.00720935
-0.0312066,-0.0312066
-0.0613627,-0.0613627
-0.08154,-0.08154
-0.0839657,-0.0839657
-0.0778708,-0.0778708
-0.0732293,-0.0732293
-0.0673462,-0.0673462
-0.0592392,-0.0592392
-0.0527723,-0.0527723
-0.0457745,-0.0457745
-0.0361605,-0.0361605
-0.0270058,-0.0270058
-0.0201187,-0.0201187
-0.0150902,-0.0150902
-0.0107004,-0.0107004
-0.00913254,-0.00913254
-0.00649087,-0.00649087
-0.00197399,-0.00197399
0.00207092,0.00207092
0.0059163,0.0059163
0.0107054,0.0107054
0.0160659,0.0160659
0.0233015,0.0233015
0.033931,0.033931
0.0501326,0.0501326
0.0710346,0.0710346
0.0952411,0.0952411
0.120535,0.120535
0.1466,0.1466
0.171488,0.171488
0.193392,0.193392
0.213091,0.213091
0.229084,0.229084
0.240385,0.240385
0.249069,0.249069
0.256664,0.256664
0.263817,0.263817
0.270226,0.270226
0.276048,0.276048
0.281628,0.281628
0.286679,0.286679
0.290168,0.290168
0.291905,0.291905
0.293659,0.293659
0.296525,0.296525
0.299307,0.299307
0.300628,0.300628
0.30116,0.30116
0.302336,0.302336
0.304123,0.304123
0.306189,0.306189
0.308115,0.308115
0.309939,0.309939
0.311679,0.311679
0.31336,0.31336
0.31556,0.31556
0.318501,0.318501
0.32174,0.32174
0.325138,0.325138
0.32891,0.32891
0.33254,0.33254
0.33658,0.33658
0.341241,0.341241
0.346223,0.346223
0.350918,0.350918
0.355011,0.355011
0.358518,0.358518
0.361564,0.361564
0.364095,0.364095
0.366078,0.366078
0.367533,0.367533
0.368513,0.368513
0.369019,0.369019
0.369022,0.369022
0.368563,0.368563
0.367765,0.367765
0.366611,0.366611
0.365043,0.365043
0.363031,0.363031
0.360625,0.360625
0.357979,0.357979
0.355173,0.355173
0.352255,0.352255
0.349148,0.349148
0.345788,0.345788
0.34214,0.34214
0.338114,0.338114
0.333766,0.333766
0.32927,0.32927
0.324733,0.324733
0.320187,0.320187
0.315612,0.315612
0.310979,0.310979
0.30631,0.30631
0.301582,0.301582
0.296816,0.296816
0.292029,0.292029
0.287173,0.287173
0.282229,0.282229
0.277128,0.277128
0.271889,0.271889
0.266578,0.266578
0.261193,0.261193
0.255726,0.255726
0.250139,0.250139
0.244395,0.244395
0.238513,0.238513
0.232476,0.232476
0.226323,0.226323
0.220093,0.220093
0.213785,0.213785
0.20747,0.20747
0.20115,0.20115
0.194853,0.194853
0.1886,0.1886
0.182367,0.182367
0.176181,0.176181
0.170087,0.170087
0.164088,0.164088
0.158239,0.158239
0.152533,0.152533
0.147027,0.147027
0.141747,0.141747
0.136726,0.136726
0.132018,0.132018
0.127542,0.127542
0.123215,0.123215
0.1191,0.1191
0.115244,0.115244
0.111664,0.111664
0.108301,0.108301
0.10504,0.10504
0.101816,0.101816
0.0984669,0.0984669
0.0948753,0.0948753
0.0910576,0.0910576
