Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 , -2.71293e-06
 1.99947e-04 , -3.02056e-05
 2.99803e-04 , -1.12563e-04
 3.99893e-04 , -2.54326e-04
 4.99983e-04 , -7.25634e-04
 5.99840e-04 , -1.99757e-02
 6.99930e-04 , -5.89017e-02
 7.99787e-04 , -1.06764e-01
 8.99877e-04 , -1.50731e-01
 9.99967e-04 , -1.88189e-01
 1.09982e-03 , -2.14776e-01
 1.19991e-03 , -2.35446e-01
 1.29977e-03 , -2.52395e-01
 1.39986e-03 , -2.63162e-01
 1.49995e-03 , -2.66403e-01
 1.59981e-03 , -2.65436e-01
 1.69990e-03 , -2.63772e-01
 1.79999e-03 , -2.61444e-01
 1.89984e-03 , -2.55176e-01
 1.99993e-03 , -2.44335e-01
 2.09979e-03 , -2.30802e-01
 2.19988e-03 , -2.15841e-01
 2.29997e-03 , -2.00463e-01
 2.39983e-03 , -1.86070e-01
 2.49992e-03 , -1.74111e-01
 2.59977e-03 , -1.62688e-01
 2.69986e-03 , -1.50950e-01
 2.79995e-03 , -1.39831e-01
 2.89981e-03 , -1.30020e-01
 2.99990e-03 , -1.21648e-01
 3.09999e-03 , -1.13771e-01
 3.19985e-03 , -1.04821e-01
 3.29994e-03 , -9.47125e-02
 3.39979e-03 , -8.38401e-02
 3.49988e-03 , -7.26308e-02
 3.59997e-03 , -6.13357e-02
 3.69983e-03 , -5.09770e-02
 3.79992e-03 , -4.19407e-02
 3.89978e-03 , -3.41684e-02
 3.99987e-03 , -2.71328e-02
 4.09996e-03 , -2.01826e-02
 4.19981e-03 , -1.39990e-02
 4.29990e-03 , -9.07559e-03
 4.39999e-03 , -5.55219e-03
 4.49985e-03 , -2.87183e-03
 4.59994e-03 ,  4.93860e-04
 4.69980e-03 ,  5.53926e-03
 4.79989e-03 ,  1.30241e-02
 4.89998e-03 ,  2.31172e-02
 4.99983e-03 ,  3.50409e-02
 5.09992e-03 ,  4.73932e-02
 5.19978e-03 ,  6.06035e-02
 5.29987e-03 ,  7.61582e-02
 5.39996e-03 ,  9.31276e-02
 5.49982e-03 ,  1.10789e-01
 5.59991e-03 ,  1.29725e-01
 5.70000e-03 ,  1.49721e-01
 5.79985e-03 ,  1.69924e-01
 5.89994e-03 ,  1.89893e-01
 5.99980e-03 ,  2.09456e-01
 6.09989e-03 ,  2.28199e-01
 6.19998e-03 ,  2.45283e-01
 6.29984e-03 ,  2.60667e-01
 6.39993e-03 ,  2.74710e-01
 6.49978e-03 ,  2.86625e-01
 6.59987e-03 ,  2.96626e-01
 6.69996e-03 ,  3.04893e-01
 6.79982e-03 ,  3.11617e-01
 6.89991e-03 ,  3.16936e-01
 7.00000e-03 ,  3.21061e-01
 7.09986e-03 ,  3.24356e-01
 7.19995e-03 ,  3.26703e-01
 7.29980e-03 ,  3.27804e-01
 7.39989e-03 ,  3.27762e-01
 7.49998e-03 ,  3.26987e-01
 7.59984e-03 ,  3.25742e-01
 7.69993e-03 ,  3.24127e-01
 7.79979e-03 ,  3.22182e-01
 7.89988e-03 ,  3.20061e-01
 7.99997e-03 ,  3.17947e-01
 8.09982e-03 ,  3.15977e-01
 8.19991e-03 ,  3.14234e-01
 8.29977e-03 ,  3.12806e-01
 8.39986e-03 ,  3.11894e-01
 8.49995e-03 ,  3.11339e-01
 8.59981e-03 ,  3.10824e-01
 8.69990e-03 ,  3.10241e-01
 8.79999e-03 ,  3.09566e-01
 8.89984e-03 ,  3.08767e-01
 8.99993e-03 ,  3.07859e-01
 9.09979e-03 ,  3.06826e-01
 9.19988e-03 ,  3.05722e-01
 9.29997e-03 ,  3.04605e-01
 9.39983e-03 ,  3.03610e-01
 9.49992e-03 ,  3.02711e-01
 9.59977e-03 ,  3.01889e-01
 9.69986e-03 ,  3.01209e-01
 9.79995e-03 ,  3.00684e-01
 9.89981e-03 ,  3.00234e-01
