Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 ,  3.78660e-06
 1.99947e-04 ,  3.96985e-05
 2.99803e-04 ,  1.42117e-04
 3.99893e-04 ,  3.11240e-04
 4.99983e-04 ,  8.92997e-04
 5.99840e-04 ,  2.72228e-02
 6.99930e-04 ,  6.86989e-02
 7.99787e-04 ,  9.65824e-02
 8.99877e-04 ,  1.27306e-01
 9.99967e-04 ,  1.77305e-01
 1.09982e-03 ,  2.16512e-01
 1.19991e-03 ,  2.45293e-01
 1.29977e-03 ,  2.60002e-01
 1.39986e-03 ,  2.59199e-01
 1.49995e-03 ,  2.45391e-01
 1.59981e-03 ,  2.30921e-01
 1.69990e-03 ,  2.27623e-01
 1.79999e-03 ,  2.30359e-01
 1.89984e-03 ,  2.30245e-01
 1.99993e-03 ,  2.25722e-01
 2.09979e-03 ,  2.14058e-01
 2.19988e-03 ,  1.97710e-01
 2.29997e-03 ,  1.82392e-01
 2.39983e-03 ,  1.72799e-01
 2.49992e-03 ,  1.70308e-01
 2.59977e-03 ,  1.69110e-01
 2.69986e-03 ,  1.66504e-01
 2.79995e-03 ,  1.62254e-01
 2.89981e-03 ,  1.56005e-01
 2.99990e-03 ,  1.49510e-01
 3.09999e-03 ,  1.43325e-01
 3.19985e-03 ,  1.36374e-01
 3.29994e-03 ,  1.29727e-01
 3.39979e-03 ,  1.24303e-01
 3.49988e-03 ,  1.20597e-01
 3.59997e-03 ,  1.18486e-01
 3.69983e-03 ,  1.19319e-01
 3.79992e-03 ,  1.22966e-01
 3.89978e-03 ,  1.29274e-01
 3.99987e-03 ,  1.36844e-01
 4.09996e-03 ,  1.43486e-01
 4.19981e-03 ,  1.50175e-01
 4.29990e-03 ,  1.58477e-01
 4.39999e-03 ,  1.68632e-01
 4.49985e-03 ,  1.79535e-01
 4.59994e-03 ,  1.89729e-01
 4.69980e-03 ,  1.98722e-01
 4.79989e-03 ,  2.05867e-01
 4.89998e-03 ,  2.10385e-01
 4.99983e-03 ,  2.13168e-01
 5.09992e-03 ,  2.15953e-01
 5.19978e-03 ,  2.16997e-01
 5.29987e-03 ,  2.14692e-01
 5.39996e-03 ,  2.10994e-01
 5.49982e-03 ,  2.07568e-01
 5.59991e-03 ,  2.03057e-01
 5.70000e-03 ,  1.97292e-01
 5.79985e-03 ,  1.90799e-01
 5.89994e-03 ,  1.84066e-01
 5.99980e-03 ,  1.77198e-01
 6.09989e-03 ,  1.71097e-01
 6.19998e-03 ,  1.65780e-01
 6.29984e-03 ,  1.61648e-01
 6.39993e-03 ,  1.58880e-01
 6.49978e-03 ,  1.58037e-01
 6.59987e-03 ,  1.58688e-01
 6.69996e-03 ,  1.60881e-01
 6.79982e-03 ,  1.64470e-01
 6.89991e-03 ,  1.68912e-01
 7.00000e-03 ,  1.73249e-01
 7.09986e-03 ,  1.76781e-01
 7.19995e-03 ,  1.80293e-01
 7.29980e-03 ,  1.83604e-01
 7.39989e-03 ,  1.86420e-01
 7.49998e-03 ,  1.88683e-01
 7.59984e-03 ,  1.90387e-01
 7.69993e-03 ,  1.91624e-01
 7.79979e-03 ,  1.92210e-01
 7.89988e-03 ,  1.92033e-01
 7.99997e-03 ,  1.91135e-01
 8.09982e-03 ,  1.89602e-01
 8.19991e-03 ,  1.87390e-01
