Time , el8_pstrn
 0.00000e+00 ,  1.00000e+00
 9.98567e-05 ,  9.99994e-01
 1.99947e-04 ,  9.99938e-01
 2.99803e-04 ,  9.99776e-01
 3.99893e-04 ,  9.99509e-01
 4.99983e-04 ,  9.99310e-01
 5.99840e-04 ,  9.48287e-01
 6.99930e-04 ,  6.80302e-01
 7.99787e-04 ,  5.37236e-01
 8.99877e-04 ,  5.78539e-01
 9.99967e-04 ,  5.90934e-01
 1.09982e-03 ,  6.14166e-01
 1.19991e-03 ,  6.51251e-01
 1.29977e-03 ,  6.82405e-01
 1.39986e-03 ,  6.84568e-01
 1.49995e-03 ,  6.70790e-01
 1.59981e-03 ,  6.66540e-01
 1.69990e-03 ,  6.71834e-01
 1.79999e-03 ,  6.81215e-01
 1.89984e-03 ,  6.93281e-01
 1.99993e-03 ,  7.05191e-01
 2.09979e-03 ,  7.19199e-01
 2.19988e-03 ,  7.37131e-01
 2.29997e-03 ,  7.55285e-01
 2.39983e-03 ,  7.68276e-01
 2.49992e-03 ,  7.75083e-01
 2.59977e-03 ,  7.81614e-01
 2.69986e-03 ,  7.89703e-01
 2.79995e-03 ,  7.97162e-01
 2.89981e-03 ,  8.01875e-01
 2.99990e-03 ,  8.01273e-01
 3.09999e-03 ,  7.93759e-01
 3.19985e-03 ,  7.80546e-01
 3.29994e-03 ,  7.64591e-01
 3.39979e-03 ,  7.51693e-01
 3.49988e-03 ,  7.46225e-01
 3.59997e-03 ,  7.48516e-01
 3.69983e-03 ,  7.55478e-01
 3.79992e-03 ,  7.63388e-01
 3.89978e-03 ,  7.69841e-01
 3.99987e-03 ,  7.74716e-01
 4.09996e-03 ,  7.77755e-01
 4.19981e-03 ,  7.76965e-01
 4.29990e-03 ,  7.72379e-01
 4.39999e-03 ,  7.66410e-01
 4.49985e-03 ,  7.60365e-01
 4.59994e-03 ,  7.54107e-01
 4.69980e-03 ,  7.48073e-01
 4.79989e-03 ,  7.43657e-01
 4.89998e-03 ,  7.39458e-01
 4.99983e-03 ,  7.35897e-01
 5.09992e-03 ,  7.31745e-01
 5.19978e-03 ,  7.25717e-01
 5.29987e-03 ,  7.19492e-01
 5.39996e-03 ,  7.14107e-01
 5.49982e-03 ,  7.09077e-01
 5.59991e-03 ,  7.03790e-01
 5.70000e-03 ,  6.98852e-01
 5.79985e-03 ,  6.93818e-01
 5.89994e-03 ,  6.88689e-01
 5.99980e-03 ,  6.83836e-01
 6.09989e-03 ,  6.79309e-01
 6.19998e-03 ,  6.75393e-01
 6.29984e-03 ,  6.72461e-01
 6.39993e-03 ,  6.70305e-01
 6.49978e-03 ,  6.68659e-01
 6.59987e-03 ,  6.66820e-01
 6.69996e-03 ,  6.64586e-01
 6.79982e-03 ,  6.62511e-01
 6.89991e-03 ,  6.60770e-01
 7.00000e-03 ,  6.59674e-01
 7.09986e-03 ,  6.59679e-01
 7.19995e-03 ,  6.60309e-01
 7.29980e-03 ,  6.60970e-01
 7.39989e-03 ,  6.61694e-01
 7.49998e-03 ,  6.63017e-01
 7.59984e-03 ,  6.65018e-01
 7.69993e-03 ,  6.67554e-01
 7.79979e-03 ,  6.70463e-01
 7.89988e-03 ,  6.73906e-01
 7.99997e-03 ,  6.77947e-01
 8.09982e-03 ,  6.82520e-01
 8.19991e-03 ,  6.87551e-01
 8.29977e-03 ,  6.92985e-01
 8.39986e-03 ,  6.98951e-01
 8.49995e-03 ,  7.05390e-01
 8.59981e-03 ,  7.12110e-01
 8.69990e-03 ,  7.19062e-01
 8.79999e-03 ,  7.26216e-01
 8.89984e-03 ,  7.33542e-01
 8.99993e-03 ,  7.41074e-01
