Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 , -5.89671e-07
 1.99947e-04 ,  1.57351e-06
 2.99803e-04 ,  7.03784e-06
 3.99893e-04 ,  1.48722e-05
 4.99983e-04 ,  2.48951e-05
 5.99840e-04 ,  3.20031e-05
 6.99930e-04 ,  3.18358e-05
 7.99787e-04 ,  2.56861e-05
 8.99877e-04 ,  1.19761e-05
 9.99967e-04 , -8.25882e-06
 1.09982e-03 , -3.45048e-05
 1.19991e-03 , -6.33209e-05
 1.29977e-03 , -9.39745e-05
 1.39986e-03 , -1.22669e-04
 1.49995e-03 , -1.51694e-04
 1.59981e-03 , -1.88375e-04
 1.69990e-03 , -2.34453e-04
 1.79999e-03 , -2.63676e-04
 1.89984e-03 , -2.30413e-04
 1.99993e-03 , -1.39325e-04
 2.09979e-03 , -2.14229e-04
 2.19988e-03 , -1.00773e-03
 2.29997e-03 , -3.26815e-03
 2.39983e-03 , -7.46856e-03
 2.49992e-03 , -1.34016e-02
 2.59977e-03 , -2.04399e-02
 2.69986e-03 , -2.76768e-02
 2.79995e-03 , -3.37059e-02
 2.89981e-03 , -3.79594e-02
 2.99990e-03 , -4.05345e-02
 3.09999e-03 , -4.19510e-02
 3.19985e-03 , -4.32207e-02
 3.29994e-03 , -4.58026e-02
 3.39979e-03 , -4.92959e-02
 3.49988e-03 , -5.26209e-02
 3.59997e-03 , -5.65255e-02
 3.69983e-03 , -6.01354e-02
 3.79992e-03 , -6.32165e-02
 3.89978e-03 , -6.62468e-02
 3.99987e-03 , -6.98198e-02
 4.09996e-03 , -7.35423e-02
 4.19981e-03 , -7.72804e-02
 4.29990e-03 , -8.07213e-02
 4.39999e-03 , -8.42019e-02
 4.49985e-03 , -8.69110e-02
 4.59994e-03 , -8.89554e-02
 4.69980e-03 , -9.09601e-02
 4.79989e-03 , -9.23277e-02
 4.89998e-03 , -9.31535e-02
 4.99983e-03 , -9.34504e-02
 5.09992e-03 , -9.36222e-02
 5.19978e-03 , -9.41418e-02
 5.29987e-03 , -9.48716e-02
 5.39996e-03 , -9.59769e-02
 5.49982e-03 , -9.74612e-02
 5.59991e-03 , -9.93365e-02
 5.70000e-03 , -1.01541e-01
 5.79985e-03 , -1.03645e-01
 5.89994e-03 , -1.05937e-01
 5.99980e-03 , -1.08009e-01
 6.09989e-03 , -1.09971e-01
 6.19998e-03 , -1.11487e-01
 6.29984e-03 , -1.12703e-01
 6.39993e-03 , -1.13523e-01
 6.49978e-03 , -1.13845e-01
 6.59987e-03 , -1.13777e-01
 6.69996e-03 , -1.13367e-01
 6.79982e-03 , -1.12732e-01
 6.89991e-03 , -1.12028e-01
 7.00000e-03 , -1.11055e-01
 7.09986e-03 , -1.09690e-01
 7.19995e-03 , -1.08190e-01
 7.29980e-03 , -1.06541e-01
 7.39989e-03 , -1.05038e-01
 7.49998e-03 , -1.03478e-01
 7.59984e-03 , -1.02043e-01
 7.69993e-03 , -1.00717e-01
 7.79979e-03 , -9.94438e-02
 7.89988e-03 , -9.81551e-02
 7.99997e-03 , -9.68797e-02
 8.09982e-03 , -9.56304e-02
 8.19991e-03 , -9.42827e-02
 8.29977e-03 , -9.28038e-02
 8.39986e-03 , -9.12411e-02
 8.49995e-03 , -8.96113e-02
 8.59981e-03 , -8.79694e-02
 8.69990e-03 , -8.62522e-02
 8.79999e-03 , -8.44739e-02
 8.89984e-03 , -8.25819e-02
 8.99993e-03 , -8.05576e-02
 9.09979e-03 , -7.82838e-02
 9.19988e-03 , -7.59507e-02
 9.29997e-03 , -7.35682e-02
 9.39983e-03 , -7.12986e-02
 9.49992e-03 , -6.90404e-02
 9.59977e-03 , -6.68419e-02
 9.69986e-03 , -6.46754e-02
 9.79995e-03 , -6.25857e-02
 9.89981e-03 , -6.05012e-02
 9.99990e-03 , -5.84691e-02
 1.01000e-02 , -5.63651e-02
 1.01998e-02 , -5.44503e-02
