el8_pstrn , el8_pstrn
 0.00000e+00 ,  0.00000e+00
-1.54115e-05 , -1.54115e-05
-5.77258e-05 , -5.77258e-05
-1.17355e-04 , -1.17355e-04
-1.67870e-04 , -1.67870e-04
-2.14471e-04 , -2.14471e-04
-2.54624e-04 , -2.54624e-04
-2.94839e-04 , -2.94839e-04
-3.38849e-04 , -3.38849e-04
-3.79847e-04 , -3.79847e-04
-4.20282e-04 , -4.20282e-04
-4.70590e-04 , -4.70590e-04
-5.27724e-04 , -5.27724e-04
-5.82036e-04 , -5.82036e-04
-6.32821e-04 , -6.32821e-04
-6.34078e-04 , -6.34078e-04
-5.59756e-04 , -5.59756e-04
-6.85608e-04 , -6.85608e-04
-1.54724e-03 , -1.54724e-03
-3.06758e-03 , -3.06758e-03
-3.45150e-03 , -3.45150e-03
 9.07567e-04 ,  9.07567e-04
 1.33671e-02 ,  1.33671e-02
 3.36448e-02 ,  3.36448e-02
 5.68194e-02 ,  5.68194e-02
 7.64294e-02 ,  7.64294e-02
 8.81758e-02 ,  8.81758e-02
 9.31944e-02 ,  9.31944e-02
 9.33238e-02 ,  9.33238e-02
 9.20623e-02 ,  9.20623e-02
 9.15038e-02 ,  9.15038e-02
 9.19234e-02 ,  9.19234e-02
 9.60481e-02 ,  9.60481e-02
 1.00262e-01 ,  1.00262e-01
 1.03493e-01 ,  1.03493e-01
 1.06036e-01 ,  1.06036e-01
 1.07652e-01 ,  1.07652e-01
 1.07362e-01 ,  1.07362e-01
 1.05022e-01 ,  1.05022e-01
 1.00577e-01 ,  1.00577e-01
 9.43921e-02 ,  9.43921e-02
 8.78659e-02 ,  8.78659e-02
 8.19716e-02 ,  8.19716e-02
 7.68899e-02 ,  7.68899e-02
 7.25923e-02 ,  7.25923e-02
 6.83858e-02 ,  6.83858e-02
 6.41188e-02 ,  6.41188e-02
 6.00119e-02 ,  6.00119e-02
 5.61664e-02 ,  5.61664e-02
 5.34319e-02 ,  5.34319e-02
 5.20976e-02 ,  5.20976e-02
 5.12001e-02 ,  5.12001e-02
 5.14906e-02 ,  5.14906e-02
 5.22401e-02 ,  5.22401e-02
 5.34593e-02 ,  5.34593e-02
 5.52324e-02 ,  5.52324e-02
 5.69332e-02 ,  5.69332e-02
 5.86150e-02 ,  5.86150e-02
 6.02189e-02 ,  6.02189e-02
 6.20923e-02 ,  6.20923e-02
 6.43880e-02 ,  6.43880e-02
 6.69160e-02 ,  6.69160e-02
 6.97970e-02 ,  6.97970e-02
 7.29244e-02 ,  7.29244e-02
 7.59779e-02 ,  7.59779e-02
 7.88640e-02 ,  7.88640e-02
 8.13106e-02 ,  8.13106e-02
 8.29317e-02 ,  8.29317e-02
 8.37756e-02 ,  8.37756e-02
 8.41371e-02 ,  8.41371e-02
 8.41788e-02 ,  8.41788e-02
 8.42413e-02 ,  8.42413e-02
 8.38206e-02 ,  8.38206e-02
 8.29618e-02 ,  8.29618e-02
 8.18498e-02 ,  8.18498e-02
 8.02370e-02 ,  8.02370e-02
 7.84528e-02 ,  7.84528e-02
 7.66447e-02 ,  7.66447e-02
 7.48872e-02 ,  7.48872e-02
 7.32184e-02 ,  7.32184e-02
 7.17017e-02 ,  7.17017e-02
 7.03359e-02 ,  7.03359e-02
 6.91972e-02 ,  6.91972e-02
 6.81627e-02 ,  6.81627e-02
 6.73814e-02 ,  6.73814e-02
 6.68991e-02 ,  6.68991e-02
 6.66643e-02 ,  6.66643e-02
 6.65038e-02 ,  6.65038e-02
 6.63553e-02 ,  6.63553e-02
 6.63317e-02 ,  6.63317e-02
 6.63379e-02 ,  6.63379e-02
 6.65784e-02 ,  6.65784e-02
 6.69839e-02 ,  6.69839e-02
 6.74745e-02 ,  6.74745e-02
 6.80340e-02 ,  6.80340e-02
 6.86277e-02 ,  6.86277e-02
 6.91676e-02 ,  6.91676e-02
 6.92677e-02 ,  6.92677e-02
