Time , el8_pstrn
 0.00000e+00 ,  0.00000e+00
 9.98567e-05 ,  7.20184e-06
 1.99947e-04 ,  2.25046e-05
 2.99803e-04 ,  4.38667e-05
 3.99893e-04 ,  6.41569e-05
 4.99983e-04 ,  8.12966e-05
 5.99840e-04 ,  9.89780e-05
 6.99930e-04 ,  1.16849e-04
 7.99787e-04 ,  1.27659e-04
 8.99877e-04 ,  1.26885e-04
 9.99967e-04 ,  1.05441e-04
 1.09982e-03 ,  7.20550e-05
 1.19991e-03 ,  4.23276e-05
 1.29977e-03 ,  2.19827e-05
 1.39986e-03 ,  7.99956e-06
 1.49995e-03 ,  1.12747e-05
 1.59981e-03 ,  8.77420e-05
 1.69990e-03 ,  2.83972e-04
 1.79999e-03 ,  5.00226e-04
 1.89984e-03 ,  4.94743e-04
 1.99993e-03 ,  2.17354e-04
 2.09979e-03 ,  2.68082e-04
 2.19988e-03 ,  1.76774e-03
 2.29997e-03 ,  5.27008e-03
 2.39983e-03 ,  9.59968e-03
 2.49992e-03 ,  1.17881e-02
 2.59977e-03 ,  8.26104e-03
 2.69986e-03 , -2.12204e-03
 2.79995e-03 , -1.64627e-02
 2.89981e-03 , -3.14336e-02
 2.99990e-03 , -4.61504e-02
 3.09999e-03 , -5.83766e-02
 3.19985e-03 , -7.00665e-02
 3.29994e-03 , -8.24640e-02
 3.39979e-03 , -9.50113e-02
 3.49988e-03 , -1.08336e-01
 3.59997e-03 , -1.21720e-01
 3.69983e-03 , -1.34099e-01
 3.79992e-03 , -1.46286e-01
 3.89978e-03 , -1.57663e-01
 3.99987e-03 , -1.68206e-01
 4.09996e-03 , -1.78334e-01
 4.19981e-03 , -1.88002e-01
 4.29990e-03 , -1.97942e-01
 4.39999e-03 , -2.07786e-01
 4.49985e-03 , -2.17602e-01
 4.59994e-03 , -2.27082e-01
 4.69980e-03 , -2.35866e-01
 4.79989e-03 , -2.43799e-01
 4.89998e-03 , -2.51098e-01
 4.99983e-03 , -2.57292e-01
 5.09992e-03 , -2.62892e-01
 5.19978e-03 , -2.68399e-01
 5.29987e-03 , -2.74035e-01
 5.39996e-03 , -2.80091e-01
 5.49982e-03 , -2.86686e-01
 5.59991e-03 , -2.93935e-01
 5.70000e-03 , -3.01519e-01
 5.79985e-03 , -3.09237e-01
 5.89994e-03 , -3.16869e-01
 5.99980e-03 , -3.24371e-01
 6.09989e-03 , -3.31784e-01
 6.19998e-03 , -3.39028e-01
 6.29984e-03 , -3.46176e-01
 6.39993e-03 , -3.52885e-01
 6.49978e-03 , -3.58660e-01
 6.59987e-03 , -3.63295e-01
 6.69996e-03 , -3.66841e-01
 6.79982e-03 , -3.68935e-01
 6.89991e-03 , -3.69690e-01
 7.00000e-03 , -3.68839e-01
 7.09986e-03 , -3.66476e-01
 7.19995e-03 , -3.62368e-01
 7.29980e-03 , -3.56410e-01
 7.39989e-03 , -3.48749e-01
 7.49998e-03 , -3.39606e-01
 7.59984e-03 , -3.29208e-01
 7.69993e-03 , -3.17625e-01
 7.79979e-03 , -3.05287e-01
 7.89988e-03 , -2.92541e-01
 7.99997e-03 , -2.80131e-01
 8.09982e-03 , -2.68418e-01
 8.19991e-03 , -2.57458e-01
 8.29977e-03 , -2.47640e-01
 8.39986e-03 , -2.38974e-01
 8.49995e-03 , -2.31496e-01
 8.59981e-03 , -2.24958e-01
 8.69990e-03 , -2.18978e-01
 8.79999e-03 , -2.13130e-01
 8.89984e-03 , -2.06806e-01
 8.99993e-03 , -1.99681e-01
 9.09979e-03 , -1.91418e-01
 9.19988e-03 , -1.82034e-01
 9.29997e-03 , -1.71752e-01
 9.39983e-03 , -1.60352e-01
 9.49992e-03 , -1.47879e-01
 9.59977e-03 , -1.34672e-01
 9.69986e-03 , -1.20838e-01
 9.79995e-03 , -1.06813e-01
 9.89981e-03 , -9.28504e-02
 9.99990e-03 , -7.93078e-02
 1.01000e-02 , -6.66938e-02
 1.01998e-02 , -5.54925e-02
 1.02999e-02 , -4.58603e-02
 1.03998e-02 , -3.80564e-02
 1.04999e-02 , -3.22600e-02
 1.06000e-02 , -2.87753e-02
 1.06998e-02 , -2.73122e-02
 1.07999e-02 , -2.77753e-02
 1.08998e-02 , -2.97342e-02
 1.09999e-02 , -3.29600e-02
 1.11000e-02 , -3.70276e-02
 1.11998e-02 , -4.18691e-02
 1.12999e-02 , -4.74956e-02
 1.14000e-02 , -5.36697e-02
 1.14999e-02 , -6.02933e-02
 1.15999e-02 , -6.74276e-02
 1.16998e-02 , -7.51519e-02
 1.17999e-02 , -8.37614e-02
 1.19000e-02 , -9.30377e-02
 1.19998e-02 , -1.02636e-01
 1.20999e-02 , -1.12608e-01
 1.21998e-02 , -1.22742e-01
 1.22999e-02 , -1.32680e-01
 1.24000e-02 , -1.41824e-01
 1.24998e-02 , -1.49913e-01
 1.25999e-02 , -1.56909e-01
 1.27000e-02 , -1.62842e-01
 1.27999e-02 , -1.67975e-01
 1.28999e-02 , -1.71930e-01
 1.29998e-02 , -1.74669e-01
 1.30999e-02 , -1.76273e-01
 1.32000e-02 , -1.76795e-01
 1.32998e-02 , -1.76235e-01
 1.33999e-02 , -1.74516e-01
 1.34998e-02 , -1.71836e-01
 1.35999e-02 , -1.68522e-01
 1.37000e-02 , -1.64693e-01
 1.37998e-02 , -1.60533e-01
 1.38999e-02 , -1.55842e-01
 1.40000e-02 , -1.50723e-01
 1.40999e-02 , -1.44947e-01
 1.41999e-02 , -1.38900e-01
 1.42998e-02 , -1.32569e-01
 1.43999e-02 , -1.25826e-01
 1.45000e-02 , -1.18767e-01
 1.45998e-02 , -1.11576e-01
 1.46999e-02 , -1.04067e-01
 1.47998e-02 , -9.62637e-02
 1.48999e-02 , -8.83405e-02
 1.50000e-02 , -8.02631e-02
 1.50998e-02 , -7.19111e-02
 1.51999e-02 , -6.34287e-02
 1.52998e-02 , -5.48604e-02
 1.53999e-02 , -4.60419e-02
 1.54999e-02 , -3.71705e-02
 1.55998e-02 , -2.83404e-02
 1.56999e-02 , -1.94509e-02
 1.58000e-02 , -1.03221e-02
 1.58998e-02 , -1.02265e-03
 1.59999e-02 ,  8.22991e-03
 1.60998e-02 ,  1.74552e-02
 1.61999e-02 ,  2.67386e-02
 1.63000e-02 ,  3.61993e-02
 1.63998e-02 ,  4.59865e-02
 1.64999e-02 ,  5.59139e-02
 1.65998e-02 ,  6.61407e-02
 1.66999e-02 ,  7.67072e-02
 1.68000e-02 ,  8.75403e-02
 1.68998e-02 ,  9.87232e-02
 1.69999e-02 ,  1.10241e-01
 1.71000e-02 ,  1.22050e-01
 1.71998e-02 ,  1.34083e-01
 1.72999e-02 ,  1.46291e-01
 1.73998e-02 ,  1.58458e-01
 1.74999e-02 ,  1.70551e-01
 1.76000e-02 ,  1.82238e-01
 1.76998e-02 ,  1.93466e-01
 1.77999e-02 ,  2.04124e-01
 1.78998e-02 ,  2.14096e-01
 1.79999e-02 ,  2.23483e-01
 1.81000e-02 ,  2.32334e-01
 1.81998e-02 ,  2.40528e-01
 1.82999e-02 ,  2.47972e-01
 1.84000e-02 ,  2.54609e-01
 1.84998e-02 ,  2.60374e-01
 1.85999e-02 ,  2.65333e-01
 1.86998e-02 ,  2.69544e-01
 1.87999e-02 ,  2.73168e-01
 1.89000e-02 ,  2.76383e-01
 1.89998e-02 ,  2.79212e-01
 1.90999e-02 ,  2.81611e-01
 1.91998e-02 ,  2.83711e-01
 1.92999e-02 ,  2.85643e-01
 1.94000e-02 ,  2.87354e-01
 1.94998e-02 ,  2.88586e-01
 1.95999e-02 ,  2.89264e-01
 1.97000e-02 ,  2.89470e-01
 1.97999e-02 ,  2.89174e-01
 1.98999e-02 ,  2.88395e-01
 1.99998e-02 ,  2.87225e-01
 2.00999e-02 ,  2.85510e-01
 2.02000e-02 ,  2.83253e-01
 2.02998e-02 ,  2.80507e-01
 2.03999e-02 ,  2.77084e-01
 2.04998e-02 ,  2.73005e-01
 2.05999e-02 ,  2.68386e-01
 2.07000e-02 ,  2.63238e-01
 2.07998e-02 ,  2.57595e-01
 2.08999e-02 ,  2.51400e-01
 2.10000e-02 ,  2.44658e-01
 2.10999e-02 ,  2.37533e-01
 2.11999e-02 ,  2.29957e-01
 2.12998e-02 ,  2.21914e-01
 2.13999e-02 ,  2.13518e-01
 2.15000e-02 ,  2.04761e-01
 2.15998e-02 ,  1.95722e-01
 2.16999e-02 ,  1.86266e-01
 2.17998e-02 ,  1.76329e-01
 2.18999e-02 ,  1.65851e-01
 2.20000e-02 ,  1.54901e-01
 2.20998e-02 ,  1.43436e-01
 2.21999e-02 ,  1.31402e-01
 2.22998e-02 ,  1.18794e-01
 2.23999e-02 ,  1.05535e-01
 2.25000e-02 ,  9.15333e-02
 2.25998e-02 ,  7.70082e-02
 2.26999e-02 ,  6.19291e-02
 2.28000e-02 ,  4.64224e-02
 2.28998e-02 ,  3.04144e-02
 2.29999e-02 ,  1.38422e-02
 2.30998e-02 , -3.13859e-03
 2.31999e-02 , -2.05695e-02
 2.33000e-02 , -3.85022e-02
 2.33998e-02 , -5.67676e-02
 2.34999e-02 , -7.53816e-02
 2.35998e-02 , -9.42571e-02
 2.36999e-02 , -1.13431e-01
 2.38000e-02 , -1.32857e-01
 2.38998e-02 , -1.52474e-01
 2.39999e-02 , -1.72305e-01
 2.41000e-02 , -1.92147e-01
 2.41998e-02 , -2.11864e-01
 2.42999e-02 , -2.31558e-01
 2.43998e-02 , -2.51019e-01
 2.44999e-02 , -2.70266e-01
 2.46000e-02 , -2.89181e-01
 2.46998e-02 , -3.07798e-01
 2.47999e-02 , -3.26140e-01
 2.48998e-02 , -3.44006e-01
 2.49999e-02 , -3.61481e-01
 2.51000e-02 , -3.78540e-01
 2.51998e-02 , -3.94889e-01
 2.52999e-02 , -4.10526e-01
 2.54000e-02 , -4.25401e-01
 2.54999e-02 , -4.39410e-01
 2.55999e-02 , -4.52817e-01
 2.56998e-02 , -4.65505e-01
 2.57999e-02 , -4.77492e-01
 2.59000e-02 , -4.88786e-01
 2.59998e-02 , -4.99372e-01
 2.60999e-02 , -5.09314e-01
 2.61998e-02 , -5.18539e-01
 2.62999e-02 , -5.27089e-01
 2.64000e-02 , -5.35106e-01
 2.64998e-02 , -5.42764e-01
 2.65999e-02 , -5.50098e-01
 2.67000e-02 , -5.56932e-01
 2.67999e-02 , -5.63282e-01
 2.68999e-02 , -5.69314e-01
 2.69998e-02 , -5.75058e-01
 2.70999e-02 , -5.80588e-01
 2.72000e-02 , -5.85854e-01
 2.72998e-02 , -5.90773e-01
 2.73999e-02 , -5.95424e-01
 2.74998e-02 , -5.99741e-01
 2.75999e-02 , -6.03635e-01
 2.77000e-02 , -6.07097e-01
 2.77998e-02 , -6.10084e-01
 2.78999e-02 , -6.12516e-01
 2.80000e-02 , -6.14329e-01
 2.80999e-02 , -6.15541e-01
 2.81999e-02 , -6.16195e-01
 2.82998e-02 , -6.16348e-01
 2.83999e-02 , -6.16041e-01
 2.85000e-02 , -6.15215e-01
 2.85998e-02 , -6.13874e-01
 2.86999e-02 , -6.12055e-01
 2.87998e-02 , -6.09696e-01
 2.88999e-02 , -6.06751e-01
 2.90000e-02 , -6.03364e-01
 2.90998e-02 , -5.99617e-01
 2.91999e-02 , -5.95503e-01
 2.92998e-02 , -5.91072e-01
 2.93999e-02 , -5.86353e-01
 2.94999e-02 , -5.81398e-01
 2.95998e-02 , -5.76216e-01
 2.96999e-02 , -5.70801e-01
 2.98000e-02 , -5.65132e-01
 2.98998e-02 , -5.59250e-01
 2.99999e-02 , -5.53114e-01
 3.00998e-02 , -5.46864e-01
 3.01999e-02 , -5.40565e-01
 3.03000e-02 , -5.34176e-01
 3.03998e-02 , -5.27691e-01
 3.04999e-02 , -5.21183e-01
 3.05998e-02 , -5.14500e-01
 3.06999e-02 , -5.07585e-01
 3.08000e-02 , -5.00393e-01
 3.08998e-02 , -4.92758e-01
 3.09999e-02 , -4.84778e-01
 3.11000e-02 , -4.76518e-01
 3.11998e-02 , -4.67965e-01
 3.12999e-02 , -4.59081e-01
 3.13998e-02 , -4.49882e-01
 3.14999e-02 , -4.40285e-01
 3.16000e-02 , -4.30351e-01
 3.16998e-02 , -4.20049e-01
 3.17999e-02 , -4.09345e-01
 3.18998e-02 , -3.98372e-01
 3.19999e-02 , -3.87104e-01
 3.21000e-02 , -3.75609e-01
 3.21998e-02 , -3.63874e-01
 3.22999e-02 , -3.51919e-01
 3.24000e-02 , -3.39742e-01
 3.24998e-02 , -3.27463e-01
 3.25999e-02 , -3.15035e-01
 3.26998e-02 , -3.02623e-01
 3.27999e-02 , -2.90174e-01
 3.29000e-02 , -2.77760e-01
 3.29998e-02 , -2.65540e-01
 3.30999e-02 , -2.53357e-01
 3.31998e-02 , -2.41213e-01
 3.32999e-02 , -2.29039e-01
 3.34000e-02 , -2.16886e-01
 3.34998e-02 , -2.04810e-01
 3.35999e-02 , -1.92951e-01
 3.37000e-02 , -1.81397e-01
 3.37999e-02 , -1.70160e-01
 3.38659e-02 , -1.62835e-01
