Time , el8_pstrn
0.0,1.0
9.98567e-5,0.99994
0.000199947,0.999839
0.000299803,0.999737
0.000399893,0.999646
0.000499983,0.999584
0.00059984,0.99956
0.00069993,0.99957
0.000799787,0.999604
0.000899877,0.999639
0.000999967,0.999662
0.00109982,0.999677
0.00119991,0.999689
0.00129977,0.9997
0.00139986,0.999727
0.00149995,0.999708
0.00159981,0.999474
0.0016999,0.999208
0.00179999,1.00009
0.00189984,1.00346
0.00199993,1.00757
0.00209979,1.0041
0.00219988,0.979753
0.00229997,0.925645
0.00239983,0.848361
0.00249992,0.771817
0.00259977,0.727124
0.00269986,0.727245
0.00279995,0.759371
0.00289981,0.79559
0.0029999,0.820984
0.00309999,0.837567
0.00319985,0.845892
0.00329994,0.849804
0.00339979,0.852502
0.00349988,0.855492
0.00359997,0.859457
0.00369983,0.864875
0.00379992,0.871745
0.00389978,0.880831
0.00399987,0.89154
0.00409996,0.903076
0.00419981,0.914758
0.0042999,0.92582
0.00439999,0.935311
0.00449985,0.942494
0.00459994,0.947645
0.0046998,0.950291
0.00479989,0.951031
0.00489998,0.949875
0.00499983,0.94692
0.00509992,0.942657
0.00519978,0.937119
0.00529987,0.931548
0.00539996,0.926334
0.00549982,0.921945
0.00559991,0.918634
0.0057,0.916339
0.00579985,0.914759
0.00589994,0.913487
0.0059998,0.912597
0.00609989,0.912036
0.00619998,0.911909
0.00629984,0.912208
0.00639993,0.913082
0.00649978,0.914358
0.00659987,0.915824
0.00669996,0.91734
0.00679982,0.918858
0.00689991,0.919922
0.007,0.920283
0.00709986,0.919284
0.00719995,0.916805
0.0072998,0.912835
0.00739989,0.907511
0.00749998,0.901433
0.00759984,0.894973
0.00769993,0.88832
0.00779979,0.881816
0.00789988,0.875751
0.00799997,0.870522
0.00809982,0.866364
0.00819991,0.863249
0.00829977,0.861201
0.00839986,0.859926
0.00849995,0.859225
0.00859981,0.858875
0.0086999,0.858895
0.00879999,0.859335
0.00889984,0.860178
0.00899993,0.861519
0.00909979,0.863161
0.00919988,0.86497
0.00929997,0.866992
0.00939983,0.869304
0.00949992,0.871853
0.00959977,0.874867
0.00969986,0.878803
0.00979995,0.883826
0.00989981,0.889853
0.0099999,0.896752
0.0101,0.904151
0.0101998,0.91169
0.0102999,0.919402
0.0103998,0.927155
0.0104999,0.934868
0.0106,0.942298
0.0106998,0.949315
0.0107999,0.955747
0.0108998,0.961667
0.0109999,0.966847
0.0111,0.971385
0.0111998,0.975751
0.0112999,0.980394
0.0114,0.985566
0.0114999,0.991238
0.0115999,0.997492
0.0116998,1.0044
0.0117999,1.01204
0.0119,1.02047
0.0119998,1.02926
0.0120999,1.03801
0.0121998,1.04638
0.0122999,1.05434
0.0124,1.06137
0.0124998,1.06728
0.0125999,1.07211
0.0127,1.07592
0.0127999,1.07906
0.0128999,1.08191
0.0129998,1.08483
0.0130999,1.08779
0.0132,1.09102
0.0132998,1.09462
0.0133999,1.09854
0.0134998,1.10299
0.0135999,1.10787
0.0137,1.11335
0.0137998,1.11925
0.0138999,1.12511
0.014,1.13094
0.0140999,1.13627
0.0141999,1.14076
0.0142998,1.14446
0.0143999,1.14734
0.0145,1.14953
0.0145998,1.15113
0.0146999,1.15226
0.0147998,1.15279
0.0148999,1.15285
0.015,1.1524
0.0150998,1.15157
